자기자본영업이익률,총자본영업이익률,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,매출액영업이익률,유동자산회전률,OCF,총자본회전률,당좌자산회전률,매출액증가율,매입채무회전기간,감가상각비 대 총비용비율,target
-13.31391852109778,-7.364992645513764,-6.164517772465415,-9.677022454629345,-25.875115349123345,26.02882305844676,-1573.0,28.463612803810324,28.642162390752752,-8.432852636322668,175.14610888957242,6.267041646101407,0
1.614384554156377,1.4146978341351744,-36.74088520504903,-19.306930693069308,3.877070875404372,23.9126103212649,-3939.0,36.4888308622324,26.24220207087272,25.51215010765918,175.98789334378984,5.105589187023185,0
0.9019855927188132,0.7611765516291245,7.996911537613059,3.186393003120468,1.9426009756955127,34.20937889973087,725.0,39.183371219949024,39.93225574334405,11.523380060778356,199.83320880762972,6.129591628364739,0
-5.494904608285085,-4.54955512709391,24.778943039276164,8.912062717254642,-9.51113083351823,49.55197625199274,2410.0,47.83400845523854,61.175459234458415,18.850261503977496,211.9380962946528,5.984191387741598,0
1.7120306998457098,1.5597404937826636,33.64059967585089,10.072793448589628,5.250227479526843,31.38684741632078,3321.0,29.70805550549648,35.37781402236195,21.92145551364544,195.55232029117377,6.300812215597816,0
1.5917258841787143,1.4228606892523363,16.758430832759807,4.6899075500770415,3.7533705701078586,25.96016225101407,1948.0,37.9088785046729,28.50789293067948,25.98119502578101,173.11488828967643,4.433924534427047,0
2.469658210074821,2.2451477531036894,8.530486632044624,1.778802767472175,5.149904742805575,30.66784750026138,887.0,43.595908375590135,34.12629432175145,20.052484591679505,139.1121026772285,3.756599857029805,1
0.2232814851981936,0.1922993820491768,81.36094674556213,9.33519143842347,0.1590109163674045,98.566522849344,5225.0,120.93470463679184,120.03474232773596,4.8538778568752345,114.01725893766414,8.719257782175303,0
-2.749457188709525,-2.4714667571810427,54.37565582371459,4.421728074816117,-1.988156390258887,95.9599764181842,2591.0,124.3094743094743,117.29956961265138,4.691715352593307,41.34179224192364,6.623671046966454,0
0.3445635528330781,0.3020561011799618,41.365979381443296,6.497975708502024,0.3846153846153846,52.57059073925176,2889.0,78.53458630679008,61.55933705329327,-24.125808488489174,51.375843454790825,3.872048720858292,0
-8.176581947073752,-7.299532542250989,-36.74088520504903,-6.590278272009109,-9.631580195952838,48.232184539338185,-2778.0,75.78748651564186,56.55919172402689,-5.1889338731444,55.45180651436434,1.981508392050385,0
3.014115152867664,2.054866162696715,3.707908811138665,3.619236489836391,6.302312695033392,37.24352916897477,1241.0,32.60495411971663,44.052880415232025,-18.655848931274168,57.74811163930124,1.9719183419326336,1
12.927305114937656,8.93894070033433,50.28708315905548,19.150569086854528,11.034203133597844,113.5187559588388,13225.0,81.01120300310869,114.00977349270288,30.695130490736013,51.4323467230444,8.56383567711217,0
10.253644314868806,7.710098541066085,56.61702973797004,18.12920934970853,9.95245910917426,101.82541169012664,12813.0,77.46928127500522,102.32962196128396,2.342958093197023,54.41224743901749,9.261713418398266,0
11.10184081578599,8.506859879850627,70.43500911695753,20.17107618858166,10.422468669186394,101.38529993823504,16224.0,81.62039292092872,101.5055717512841,13.803837229045222,47.9575293415556,8.314896932625363,0
13.49529109589041,10.800137035838675,91.77031212771028,21.01277700793244,12.38311383648485,97.33326253186068,19258.0,87.21664985439942,97.33326253186068,13.945941913666202,45.28598238933322,8.066111975075778,0
13.078414207103553,9.97559560243885,59.87937678003016,17.489895183941904,12.28138854363421,90.8411198335719,17871.0,81.22530743976407,91.95622632000504,11.489487064779755,60.33382593292165,7.36119424607562,0
12.725106860065868,9.53044990740949,61.05536642178821,17.591939286513277,10.938064671565506,91.97736535950298,20445.0,87.13104368622689,94.24405592137272,13.739613814971763,78.01373281247311,6.772378915614905,0
15.928258032875895,12.009957673285305,58.70668134110005,16.98931079485427,14.129016220247342,89.28841445228237,21870.0,85.0020800179608,91.6122236930128,10.764253385878265,70.00974923870487,6.218792693879395,0
-33.1764705882353,-15.980069158929396,-31.870018393623543,-29.89673550966023,-35.86855787506087,23.60213856092671,-7797.0,22.2596180459452,25.975623550704142,-38.14262683358877,279.30422469643486,7.430960993193818,0
-33.1764705882353,-15.980069158929396,-36.74088520504903,-29.89673550966023,-35.86855787506087,23.60213856092671,-10647.0,22.2596180459452,25.975623550704142,78.0696832117533,157.90156575057486,4.6751923928146,0
-24.57703705260503,-15.976719403229772,-36.74088520504903,-29.89673550966023,-35.86855787506087,23.60213856092671,-11102.0,22.2596180459452,25.975623550704142,0.3503777510128107,245.64320785597383,5.368429182746672,0
4.436430049357885,3.0093227847605006,4.21440062399454,2.0157153516135047,4.474445066218989,96.92422427625483,1729.0,67.25577675498091,105.99443929564411,-2.1492128678986995,90.6755386121992,2.939362175308565,0
25.710722893010875,16.570475564764745,57.12996842263546,10.569166002114205,19.88371877376161,76.39591391450958,11398.0,104.34437649972908,98.81522884500848,25.206952200717517,79.55796442944308,2.314110575923049,0
17.059601301871442,13.86748462199881,58.69123365146695,11.87010178458129,14.9888742929144,64.77592414647417,13283.0,92.51851974336928,83.44867186684365,3.765694256412159,89.38183069265347,2.2522341620157893,1
-9.13472842699271,-4.486920367269157,9.378428479552076,5.648340130784479,-5.311125794618241,87.5363995372771,2479.0,84.4815306731343,98.34408891279016,-7.646823643288513,99.49782405614162,11.34369489090531,1
3.1707955338450806,2.4345321813676244,-36.74088520504903,-29.89673550966023,6.9297493089314655,30.732950550738224,-4544.0,35.13160538476994,44.15032404679741,-6.638782593218831,40.95315904139433,11.34369489090531,1
