매출액총이익률,매입채무회전률,OCF,당좌비율,영업비용 대 영업수익 비율,target
16.38207405050221,472.73090987653336,73877.0,41.38789016857118,-597.5447452960074,0
18.07607867917497,375.9227676939944,28381.0,33.47872970846246,-597.5447452960074,0
24.11496552866036,356.1749888640028,48078.0,47.39225952815478,200.4938542581212,0
34.455553972051995,350.25878149383914,152722.0,104.20086459464444,83.78957981579431,0
37.510670771141065,379.7385043075079,248312.0,106.69070965718684,68.19194098406291,0
37.303637578008,382.9380415309905,183124.0,191.8705457049406,77.07811026921331,0
7.494511279286743,163.3973552040897,-23782.0,83.7471674500597,261.0745738367917,0
2.594258167950587,183.5486661316002,-23782.0,66.58200557588113,-193.38689740420276,1
17.96613572480257,729.2489616004069,-4906.0,36.071056661562025,96.95524578136464,0
12.67363344051447,729.2489616004069,6114.0,40.78074965785732,161.8936877076412,0
24.240568348848605,729.2489616004069,5159.0,68.76877826623233,35.78044596912521,0
27.708093518040727,729.2489616004069,13384.0,92.01032182676856,25.865488640461592,0
30.54379614291265,729.2489616004069,12246.0,185.4469310299699,25.77059120768065,0
28.381784250726284,163.83092731513585,3337.0,41.685887916416526,81.74202291487003,0
7.796339262696571,729.2489616004069,-856.0,123.04406779661016,592.6706367384334,0
7.744316809824416,729.2489616004069,5950.0,134.09239702826562,179.57658779576587,0
14.399795594011596,729.2489616004069,24749.0,224.49591412407528,56.31346370816096,0
17.236105913389792,729.2489616004069,24631.0,329.6938118377144,62.55337690631808,1
18.855307007228657,259.596355216625,13157.0,117.57860445371404,68.67532055099043,0
20.09516357150148,235.83398285268905,12061.0,62.02698157629209,75.2023390821645,0
16.36620660302791,271.9383273569015,34444.0,76.1725721976768,148.34505824011072,0
17.851577572645514,224.86713776791453,10257.0,69.62340822642757,126.51946706840543,0
18.481769097703257,211.67957263670155,35246.0,84.21255914255367,109.45429856573028,1
16.847270142344435,189.74101701606205,26635.0,162.88117770767613,156.849269807705,0
19.39865803906332,146.97665224362495,20129.0,177.7560360477883,131.74244227564867,0
16.121723440454467,179.57847546901817,-23782.0,199.37608499862947,184.047031499492,0
22.21850561719993,213.05035181559785,2205.0,269.6483287449645,70.37856005660711,0
19.32779723719942,190.50939463463644,35018.0,200.60969642402773,1775.9404600811908,0
20.66466766616692,147.65632519490518,-5579.0,347.2409371247125,98.11477971044684,0
12.199610486891386,205.5672856372062,57311.0,132.95986495166136,137.56855789203445,0
12.507675872638876,202.07514517555663,94174.0,133.43978470824243,132.51255925847306,0
11.095965858764796,210.54948006027425,95279.0,148.81403112213397,162.95855278223036,0
17.448490060747286,255.81982256358037,120263.0,201.031191645342,74.20481137098072,0
13.076868049684595,252.8442303929387,143866.0,198.8142260032683,178.18712560353055,0
13.578206971180624,239.76369440522976,104209.0,216.53528570346373,237.7145966983855,0
2.594258167950587,679.5906028865652,250636.0,55.0829832061676,-52.8352454048212,1
8.658846245140495,496.0343923458232,-4610.0,61.44120178389797,631.5470171890798,0
5.336709042734804,467.5045972612458,-23782.0,66.0344650469978,-445.0555125225923,1
50.01932585552592,186.57505300628011,446540.0,224.5904611989475,60.13762510250255,0
46.66135796492584,162.4344761011535,424407.0,189.21024802838215,63.69275411618875,0
51.7355688885236,157.91627975687996,510413.0,219.4689656166285,50.874170843304,0
53.50198351366853,157.07699644448377,574982.0,263.1354198013844,46.80382935841451,0
53.71867213900349,150.77907673274805,596487.0,251.5260268217941,47.3216017691104,0
50.91625271896639,149.42218306678353,463050.0,317.46299193645444,53.87843593013334,0
13.61307901907357,362.6960073791013,2801.0,183.89880952380952,261.3307618129219,0
10.063096237913731,281.0446044907099,4527.0,146.43068720379148,525.5689424364123,0
8.360297133482204,204.17791011445053,-70.0,146.8129162236275,-597.5447452960074,0
10.34526915627551,246.23783059398528,2452.0,263.23119777158774,207.61542122798667,0
2.594258167950587,241.53662566550395,-1196.0,304.28399518652225,-125.49811523963382,0
2.594258167950587,226.97716894977168,-7389.0,328.7707261292167,-95.65707839819515,0
36.03416806599986,273.5023961661342,8797.0,38.815879002313416,287.6836069436808,0
34.22201172342495,346.3304936769141,18563.0,42.31565294182581,257.74063032367974,0
34.85884668643857,301.5342036219364,14707.0,45.71583394156548,348.36222191893,0
35.28833768627271,283.6948986076608,-9854.0,39.98811022520633,472.275429326288,0
33.63629678652842,278.6984916384304,15996.0,35.76832698401395,648.3965968586388,0
32.76651786146591,262.0125339355035,15815.0,36.122973229699255,701.077178030303,0
25.442595788018384,270.2108850327235,27649.0,85.68206090488975,592.5026929982047,1
4.837407827407995,231.30868460528177,150571.0,122.1072297518779,142.62580916688378,0
4.628901710885339,233.72437385317832,69234.0,128.23033919882457,155.37396121883657,0
5.074875367788437,246.7513545896797,20818.0,135.96813090753128,175.59510149583795,1
21.81637247055791,427.42332231532015,17789.0,42.90902036387004,903.3636614281776,0
27.570206515164607,452.2351899129891,51154.0,46.73593906001553,165.65830373001776,0
27.55868658748587,439.2534842740428,23819.0,33.47872970846246,196.159122085048,0
28.453868265348355,489.7269465669761,39921.0,33.47872970846246,161.17755762024538,0
28.902754043635497,486.93156163323226,67981.0,38.72461977920173,151.1522434790616,1
29.334849011373475,300.1891863220057,16042.0,63.50448514296393,80.00650547544183,0
27.274157038301887,315.3314794806851,4240.0,86.12376437048744,89.43898252184769,0
23.619099643327655,331.57418094646187,25329.0,75.16536710810402,182.82031550596383,0
28.49979912449585,351.0403311476611,25805.0,103.8009904105732,122.16211819254076,0
13.008394135541272,370.86266858936295,20802.0,80.65150387926452,681.0216973358968,0
