거래소코드,회사명,회계년도,OCF,총자본증가율,유형자산증가율,비유동자산증가율,유동자산증가율,매출액증가율,매출액총이익률,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전기간,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,1회전기간,종업원수,target,매출액영업이익률,총자본영업이익률,자기자본영업이익률,매출원가 대 매출액 비율,영업비용 대 영업수익 비율,감가상각비 대 총비용비율
000990,(주)DB하이텍,2012,73877.0,-3.443493316342019,-9.686757974020361,-7.691245031643022,10.516719933077368,6.984585741811175,16.38207405050221,36.42941229845005,19.855841693622573,73.29797755138176,25.12560947696188,74.87439052303813,291.72616735363175,140.88992266594943,55.65819819852259,41.38789016857118,3.447879732758658,6.829251439207777,-32.18251728660233,123.97453587556448,298.00029564135264,190.94065515498826,2.337708391109252,107.0596404863644,-126.44860306388024,-21.272980898376602,18.998751894830946,75.61508870959425,-0.3112138175588183,8.52234842454739,33.58671388758815,12.504866398323589,51.028585495204084,98.63612458364986,472.73090987653336,77.21094440288022,100.32536892692785,136.5994982600955,96.6117595880742,366.57214655787544,99.57112219991673,33.41683970340438,42.301523769398216,-77.60552131443855,118.97193738511072,2304.0,0,-2.644273899516915,-1.3493355675423557,-5.3703595480125,83.61792594949779,-597.5447452960074,9.602057464080179
000990,(주)DB하이텍,2013,28381.0,-8.582385737915189,-7.200144735325487,-1.553126226268573,-27.877946846776908,-16.424559823692505,18.07607867917497,26.68814061245034,14.227526285157104,78.93398665144862,19.34604569951398,80.65395430048602,291.72616735363175,143.6623423968744,53.16965023262754,33.47872970846246,3.327878517600284,8.730602650057824,-28.505712721587038,136.75704475491358,411.36691537161465,232.89460189395234,2.2774524442373605,140.17620756604106,-148.38779553143473,-22.654061936698405,26.766925675931034,138.35863975346385,-0.16140733898732051,3.324723095936788,10.018037479835792,5.748027349762634,46.651146267167555,99.61706849591445,375.9227676939944,97.09441176947131,92.79221206340854,129.7759320831088,112.09797631199467,287.95241150055404,126.75705617394968,29.31945877834401,42.301523769398216,-98.71170501163544,141.76062071647306,2142.0,0,-1.9465237609164114,-0.9080756468302859,-4.6938566202864855,81.92392132082503,-597.5447452960074,9.602057464080179
000990,(주)DB하이텍,2014,48078.0,-6.945914179245497,-6.957581284195963,-11.746870776880435,11.042738416135558,14.980395016121454,24.114965528660356,33.57982026165953,18.114140141357755,74.86153093228901,17.92866981114231,82.07150214341354,291.72616735363175,121.17776609032937,65.76983665261386,47.39225952815478,4.098887475288793,11.777409767920258,-53.68825423926119,126.31962973046555,411.36691537161465,284.9367157368678,1.890687356419744,140.17620756604106,-378.5161615769664,-13.083359647956039,40.529629588263305,180.5146030182663,0.6734564160175016,5.563462913718765,12.044582843772156,8.468641121119992,57.64354330540768,174.43556811897008,356.1749888640028,102.47771781060315,120.65167264203271,172.56653038892352,91.0111534247637,272.4213880238199,133.9836062974928,36.097728464925524,46.237621423865086,-148.32141121636943,122.51704191165335,1999.0,0,8.025111058659405,4.625958368405395,26.756782180080517,75.88503447133964,200.49385425812116,9.602057464080179
000990,(주)DB하이텍,2015,152722.0,-0.023657776554838826,-9.910153484277282,-12.262136949439437,36.42227625594752,17.416569494009348,34.455553972051995,52.212754643012836,25.82628848599088,65.69745004285814,25.801914194368724,74.19798424608285,254.62238788933195,87.34644165930774,138.3994755065664,104.20086459464444,10.981938649907987,13.347869890031323,89.06009902680553,133.44400446745863,287.5677505441692,96.05915208004502,1.2887438019794157,140.17620756604106,519.187510670992,9.517348402062066,41.12836720682805,159.40044950542597,2.49738209432454,20.904041413331218,37.712115525177296,20.95818446468173,67.69908718277875,177.87250506991143,350.25878149383914,104.20866493148013,113.88187016412712,154.05512839179198,83.57938478386427,269.4162200612718,135.4781088967064,48.15811527402506,59.25673399251685,-1551.5236613411255,114.84882874909054,2004.0,0,16.17681632069634,12.691795207201793,26.756782180080517,65.544446027948,83.78957981579431,9.602057464080179
000990,(주)DB하이텍,2016,248312.0,0.21784523137296322,2.73117755186255,-4.48641646286981,9.227639989696733,15.983468222833954,37.510670771141065,59.709580101769966,29.649600877188536,62.613588112554964,34.649453935947804,65.35044472526548,180.70584381589686,86.71081752056327,134.5303776742965,106.69070965718683,11.712736968085375,14.655007301459582,80.62369974549333,137.58610191422156,188.6045443777291,80.20396762957091,5.123244699252035,108.40057674815817,391.41224800143624,9.596073730047658,30.17271169419197,87.07990535714808,4.4083448381653625,38.50568563325068,83.39865856566612,20.95818446468173,78.34906955792981,129.7271357475326,379.7385043075079,96.11877538350106,109.40438472238534,141.37391291627353,75.44406575781876,280.07955282329203,130.3201166670978,61.12986756275944,71.53133532129148,410.36065921817357,109.6454070414155,2047.0,0,16.17681632069634,13.257606394886889,26.756782180080517,62.489329228858935,68.19194098406291,9.602057464080179
000990,(주)DB하이텍,2017,183124.0,0.7257883904259168,1.4361850717818665,3.6292776403868814,-4.136624345393631,-12.080865043847169,37.303637578008,55.23498800539757,28.03397753007945,64.41846730875064,45.857190143176076,54.142809856823924,140.47626360800177,75.44107285507926,243.52762954036837,191.8705457049406,10.814919447739376,11.92765035700955,35.991038102457324,163.75452360562446,118.06831096231225,31.861701894260175,3.452622047099565,86.20660906805207,188.51073220813862,20.970651470746546,32.88713427523087,71.71641823790364,6.046575458153872,34.02824103925835,56.0214389290325,20.95818446468173,68.3874758413644,85.21063287013533,382.9380415309905,95.31568045335113,94.07005661601994,118.99695915605639,81.27816894156278,258.28954018140433,141.3142784425764,54.0266994766928,61.61132199973171,224.23902537186896,127.27676693078804,1940.0,0,16.17681632069634,13.257606394886889,26.756782180080517,62.696362421992,77.07811026921331,9.602057464080179
000990,(주)DB하이텍,2018,180344.0,7.302472657102816,7.560384256084325,6.6949560197910944,8.402349128973063,-1.5386810800632007,32.17432490784859,56.118889563861785,31.924626875467638,64.0537479348994,52.35576174786739,47.64423825213261,122.34326423014656,75.09359837667549,244.50815071813054,217.15286104237356,11.167576467323123,15.305278594025133,18.929928547154905,171.57632516633555,91.00094557228614,28.079915185031307,5.418537802919484,62.92103038725483,155.062824660279,21.244798571822372,27.497576261047467,52.52063066806115,6.765642775881684,35.49086672623007,61.49397656092829,20.95818446468173,62.75271111844536,65.99148088622448,399.48130860645705,91.36848011068628,90.80608703438881,108.09973979658587,64.30429611567075,237.50900490079525,153.67838375326286,50.57104839422627,58.03985129260444,153.84981414690327,126.61419975824734,1955.0,0,16.17681632069634,10.594411429921596,20.23542600896861,67.8256750921514,90.57463736691653,9.602057464080179
023150,(주)MH에탄올,2012,-4906.0,0.13337605341003078,-4.549198841442351,-4.691118164669204,9.483777748587942,33.45539801272748,17.96613572480257,59.27040864700863,21.909276263896537,62.78630214456863,29.52539699075797,70.47460300924203,212.65184737133927,150.4916025402466,61.26799387442573,36.071056661562025,0.5344140013239259,7.877308648222285,-65.05456270757551,261.7058096415327,238.69146630374516,205.7185342003125,89.98091728630651,32.97293210343263,-41.38225525857979,-22.654061936698405,45.57949527215343,180.5146030182663,1.0804597701149425,-5.180132618152638,-6.4565374745015465,-8.208405835898809,44.47487089428959,72.58242759123202,729.2489616004069,50.05149396427969,62.46133266449293,91.4079466552473,185.0527037879802,300.59850123220843,121.42442444117252,34.566958734565226,42.301523769398216,-93.09077316055074,257.68262280819164,52.0,0,9.121938160888769,4.0569702201122135,13.740611926004334,82.03386427519743,96.95524578136464,5.611971102590257
023150,(주)MH에탄올,2013,6114.0,-3.4884586192014044,-1.9918710503605133,2.54100692139945,-13.661267746450708,4.069067059295945,12.67363344051447,49.90522422561258,23.66420453669293,66.70881586454686,35.3791114743481,64.62088852565189,188.55424312426447,150.4916025402466,57.37101553261317,40.78074965785732,0.5344140013239259,8.59149717034958,-38.917806938253904,321.2823275862069,182.65266094233533,164.01734733905766,88.74184966158003,18.63531360327769,-26.65274444409812,-22.654061936698405,45.57949527215343,158.09397201760888,0.8727167294868078,7.294898105283252,8.428104710309746,9.829581993569132,47.95756295393915,72.69412369688186,729.2489616004069,50.05149396427969,66.74679143237327,103.43394030098945,193.9605305466238,286.25339408164206,127.50940514469453,36.39640483100833,43.72491265562062,-97.64827781092028,283.6319935691318,51.0,0,4.839228295819935,2.320775956452682,6.559734995423441,87.32636655948554,161.8936877076412,5.2656875584064355
023150,(주)MH에탄올,2014,5159.0,-16.596537085499865,-22.458207931836917,-19.006973288114924,-28.140281338187457,-21.2475884244373,24.240568348848605,50.58007499603894,25.42117261939557,66.40907230958088,61.71625650318583,38.28374349681417,107.60385686411942,105.35462571407375,90.86625130459534,68.76877826623233,0.5344140013239259,12.463903665166306,-241.93213296398892,321.2823275862069,62.031862698668284,59.8969482278505,97.49160441367967,2.134914470817784,-39.023545706371195,-3.376395627520898,34.117028117145026,55.28045615563848,5.620179948586118,15.754595981188544,17.67870605167569,10.532010452392617,57.26778511720349,49.6417532303015,729.2489616004069,50.05149396427969,68.11942872241305,93.41673659318026,145.1013596276335,224.65602641717118,162.4706026457619,34.17734766925057,45.99695757507465,-140.0703439993137,268.71284501061575,53.0,0,16.17681632069634,10.223884959373356,16.565951239841635,75.7594316511514,35.78044596912521,1.9417159108745334
