자기자본영업이익률,유형자산증가율,매출채권비율,OCF,비유동자산회전률,target
-4.244910610019048,-3.213325613135366,20.489261494821704,-23782.0,30.82549891515941,1
13.740611926004334,-4.549198841442351,7.877308648222285,-4906.0,34.566958734565226,0
6.559734995423441,-1.9918710503605133,8.59149717034958,6114.0,36.39640483100833,0
16.565951239841635,-22.45820793183692,12.463903665166306,5159.0,34.17734766925057,0
13.40938246895311,1.45324924595558,20.23027244826872,13157.0,69.57443918222178,0
11.300525305151057,-0.3891891891891891,19.45738232970336,12061.0,49.0749155056898,0
9.15528774869832,6.843742804682934,20.49154157788063,10257.0,55.47715690068253,0
6.6331909894903065,-0.2500685403806691,34.24232870954182,-23782.0,91.8164178483488,0
14.657735522904062,-1.1252144653773757,38.29413768079693,2205.0,97.72312270339728,0
17.06843977745616,3.4566554066153623,3.83575239758568,446540.0,39.412086294885455,0
18.968734995048717,0.1346593356950435,3.83575239758568,510413.0,37.18172483196632,0
19.01838057728177,-2.7959582168812487,3.83575239758568,596487.0,41.27972191658763,0
15.163130962894249,-1.3479352687054045,3.83575239758568,463050.0,38.28521046521755,0
8.005558343304898,54.51127819548872,25.47352145342095,2801.0,138.74187207016482,0
3.475550179128088,-8.680248007085916,22.07136594308792,4527.0,125.63103644184726,0
-1.8228044471257436,-1.2285806660200451,34.350841542607235,-70.0,121.0047424727032,0
4.224049538591448,-4.909983633387888,19.743182843915157,2452.0,145.99224154047485,0
-8.281490400695699,-10.912220309810673,20.095816579690307,-1196.0,117.53171341790244,0
8.390064518680102,54.51127819548872,6.535319379539962,8797.0,66.39167062518783,0
8.675317909493476,17.209591842783887,8.527420482533035,14707.0,69.43971646882852,0
6.934298211464035,2.901482774026587,9.243160882841988,-9854.0,65.44376845009229,0
7.917555081734186,16.20462685122447,13.057084709571948,27649.0,131.57649901408058,1
26.75678218008052,26.23010708496016,28.06022554824888,16042.0,131.28953432623456,0
20.8700749896187,35.46531608935516,22.938492388279588,4240.0,110.622102921622,0
12.050818379932304,12.093414516904344,24.175894294577297,25329.0,97.30938198646092,0
3.491596937445184,8.64251291877141,19.142843573561745,5323.0,94.43800841161509,0
15.835620616041476,4.267650158061117,25.75191225285034,11464.0,154.11125721799783,0
3.688445183198556,6.937033084311634,15.148543841371657,4503.0,78.83980416714107,0
16.090549090748198,23.58525047254044,3.83575239758568,56320.0,81.34402179289144,0
13.697879326924252,-4.052592442371392,3.83575239758568,57337.0,26.71339412816564,0
10.489996069550244,-1.7190745648592507,3.83575239758568,50123.0,25.40119245099806,1
26.75678218008052,-7.837883101658013,27.131337194178613,-2406.0,286.0469784246544,0
26.75678218008052,16.90441577321461,26.477803542023725,-13.0,286.0469784246544,0
12.389691355314572,-2.15818972534245,31.39992522856269,-16907.0,137.1171914064899,0
11.83007212616903,1.5321756894790604,26.682828917935264,7307.0,163.91414610008042,0
26.75678218008052,34.917399131631896,24.615711395065453,8032.0,125.11552354603512,0
25.9089971273945,21.162079510703364,38.29413768079693,-5732.0,286.0469784246544,0
24.990170541111716,18.2231196365472,38.29413768079693,9869.0,286.0469784246544,0
16.56776616211956,54.51127819548872,33.277567413972555,23468.0,202.2839685772476,0
8.692504842212353,12.12121212121212,24.6485473289597,-9739.0,85.28036527450526,0
11.330081712801672,12.1431836451618,5.282690997351095,37150.0,29.15242764928269,0
12.828957741346628,54.51127819548872,15.410711190710035,94246.0,88.5867994784631,0
13.122149820738017,-19.55688630027998,16.682146783703864,86626.0,84.9156479445998,0
4.68089875687669,8.555188156199115,7.002340263491195,42041.0,29.34745244628144,0
13.288376371400547,-3.0255734933099223,4.712637401697708,22394.0,25.40119245099806,0
8.00447073576316,29.910474785407725,5.6691590231534885,-14074.0,25.40119245099806,0
-18.80868767001002,-7.24009489711292,4.334946968718005,27476.0,25.40119245099806,0
-18.80868767001002,-7.928603323071139,3.83575239758568,-14416.0,25.40119245099806,0
7.791473024853506,6.242990807213431,22.19787468770496,-5557.0,67.1902534851398,0
10.85119951899573,19.54978657785338,22.91204761206228,50757.0,96.07224940293172,0
9.38851024947314,22.381018869429926,23.29413682404133,29689.0,85.71428571428571,0
10.532604409820696,11.066017977491462,19.24800297064459,56763.0,80.55334394904459,0
7.40804392022368,10.715962933875296,22.24736636753804,-1742.0,84.30576590677484,0
9.146333315173202,14.067369305647956,16.076543710075867,36796.0,49.80315956372415,0
8.630067102131827,18.27478616268081,15.774349741768487,17568.0,48.624463189031566,0
7.208076042965525,18.31043782540561,16.26184769594852,-805.0,64.53473552005725,0
7.777626508333865,16.181349751983895,15.652346080909252,144482.0,58.64048292430739,0
7.184331103110166,4.124744053023759,9.384473032710025,201852.0,79.46548611063051,0
4.976897316227139,-3.5759109901341395,9.648218847718946,220961.0,77.92066064463884,0
7.142985424625481,-2.35650253462336,8.910344344388639,4824.0,25.40119245099806,0
10.321310244185328,-2.1420477054753504,9.951882750576187,17073.0,26.09811142711105,0
8.98005984842129,32.408178909478735,33.286439133893495,63803.0,64.55980060088457,0
9.61878287302762,26.486804640259177,38.18718911005984,-23782.0,50.8848217488731,0
17.997666435705053,-2.15484840892007,31.171851506543653,-23782.0,62.45301339006829,0
15.763740156721113,-7.541816555901063,27.703105633965635,-23782.0,50.21377707367679,0
17.347220710500096,-4.221383006317566,34.77670423319353,-23782.0,44.541218990079855,0
26.75678218008052,53.55922318772963,19.703600242847067,28337.0,65.18604879735102,0
13.24960896569528,4.474607683777173,21.04866165867239,14108.0,60.56102621525491,0
21.91095248539469,29.782980115598534,21.03072619345448,22640.0,59.76613619156126,0
