거래소코드,회사명,회계년도,OCF,총자본증가율,비유동자산증가율,유동자산증가율,매출액증가율,매출액총이익률,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전기간,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,1회전기간,종업원수,target,매출액영업이익률,총자본영업이익률,자기자본영업이익률,매출원가 대 매출액 비율,영업비용 대 영업수익 비율,감가상각비 대 총비용비율
035290,(주)골드앤에스,2012,2479.0,11.29892666623819,9.004310344827585,13.562209822379351,-7.646823643288513,29.339925721707033,105.42528372019456,46.23010144174318,48.6785624915786,49.11936247617948,50.880637523820525,99.10259424719806,80.91703196493137,128.8095468161175,116.0353657358199,5.996034725029355,23.57413716771573,44.340097266476604,103.58570420879379,81.11137236460537,83.27966311617537,22.474331844188416,96.1764212644642,11.478123616484764,31.083136032030183,63.28082138098598,-1.9075286415711947,9.378428479552076,15.351746346296755,5.6483401307844785,84.4815306731343,91.52121780836201,99.49782405614162,87.5363995372771,98.34408891279017,45.82355487707626,177.1289046735007,206.0646175579302,90.51331229763451,2177.03373015873,569.6171317326412,152.39034837886487,157.0,1,-5.311125794618241,-4.486920367269157,-9.13472842699271,70.66007427829297,-652.4238524238524,13.315345442240286
014200,(주)광림,2012,2753.0,3.952381503827313,-1.8341912760769439,8.272151770725886,-19.880745574909618,12.667158913774715,147.74652940689427,28.533074883586213,40.36383485952365,70.74170621393401,29.25829378606599,57.05804541589241,52.542815296045475,257.2836064785889,123.0979958667756,14.487667936635251,12.667379631486309,85.31442889445701,41.359327265282985,32.765897137098044,98.22107081174438,8.59343012818494,16.674815131699567,36.45701044939064,12.900207205400708,18.235646121382004,1.7146562905317768,10.482028632348461,23.773747841105354,3.2265625915638223,95.0504645411403,70.9965967431914,82.69106805902278,82.85717060285891,171.11142307075244,227.2057944516719,289.083516855836,126.26109021014263,116.65231122595463,179.11453522545972,145.89617318149175,270.77581660279174,194.0,1,1.5494063734280323,1.4727179555733798,2.0818241945135587,87.33166906930137,717.624810892587,1.1351981879373558
286750,(주)나노브릭,2018,-417.0,-1.3471502590673576,-16.682339665224752,101.25838926174498,20.10696974761825,20.581686612858334,36.10233258088789,17.72998673153472,73.47412649270234,8.42547545333923,91.57452454666077,872.0472440944882,181.4829987709955,44.5703669298653,29.79098931723177,10.128261831048208,7.375055285272003,-26.663314898609013,1086.8766404199475,706.3648293963254,38.41015364061457,380.51181102362204,-97.18451483157365,-32.98872180451128,33.10482087571871,392.9133858267717,-1.1333333333333333,-2.51750784834581,-6.963927855711423,-5.802950180907319,39.72799646174259,318.2462356067316,59.682020595602566,100.05569479253691,164.28898033836305,142.62733092123574,329.6330275229358,110.72919565822433,24.57508293150029,29.631767762154137,-48.92762306801934,193.6745059838575,58.0,0,-17.979404397439467,-7.142857142857142,-84.7769028871391,79.41831338714167,-214.47368421052633,11.665677826780968
010670,(주)나노트로닉스,2012,-2516.0,6.2381580031304065,24.234161988773057,0.01939810452807183,13.532780179969617,47.33401955738549,232.97831138652208,63.15014054473199,30.0319860424542,44.69904041872637,55.30289812930115,67.18709341660161,65.68303230730093,128.90357142857144,116.34285714285714,6.325482213821848,39.976737423669675,43.457308785370074,123.72278601786799,121.4329083181542,100.0,2.2898776997137653,6.524156678611146,15.688669186779103,17.98778714742658,40.24199843871975,1.401343408900084,-8.819405496354458,-27.114990839530122,-12.949047864127639,37.665988174857034,44.84915633728043,167.1335563561503,26.91918702115574,29.655519772890305,125.11065362840968,42.510830087953444,858.6047349459598,69.4871611472713,1609.7763048881525,119.57658932857407,816.5818322182191,31.0,0,17.179619145651053,6.470873315886401,14.4765374273571,52.66598044261451,175.52426602756142,3.980091227749203
137080,(주)나래나노텍,2018,4798.0,-10.485759387133697,-3.5920346631344997,-24.261456674368002,-0.6564665609084078,15.543088867177241,39.31374147125259,20.380105473418524,71.7804280783278,46.21774995612239,53.78225004387761,155.30922242314645,113.18959382166109,77.13659104927694,55.707856441185214,6.095226951717913,13.139046058954792,-93.72501998401279,116.36708860759492,79.15551537070525,49.00591625828403,37.21157323688969,-205.61550759392486,-8.364326248840378,32.91489415048767,71.21699819168174,4.096238938053097,7.455983589998602,12.182921565142319,5.040604284198472,79.5538691695013,89.03303651601317,74.95025581224327,121.49567304010415,167.4795460543679,82.48516078876317,267.1990792724006,136.60226711630793,54.40127563267265,71.64890253816277,-536.5670800450958,144.13717209282783,0.0,0,7.780474224421402,6.189668285262973,13.392405063291138,84.45691113282275,99.77045638671348,2.8751720084834216
028090,(주)네오퍼플,2012,-5785.0,-6.5367795080639555,-35.36585365853659,21.961993282105556,-23.24880897495005,14.272556165151576,190.88290364395795,56.40473361061596,34.37809467221232,32.848088730441674,67.15191126955833,104.65782333433826,103.18026452667559,98.4109304225143,84.58825276602064,20.620419885125767,5.439195880372351,-869.8598130841121,204.43171540548687,202.99969852276152,98.52380952380952,1.4320168827253543,-44.39252336448598,-1.0596157654981184,25.99524658348188,79.1377750979801,-2.524202420242024,-21.327975224893084,-55.095238095238095,-23.166873573345082,61.821647851059616,84.3130634432927,128.92154899683635,51.76516926138601,61.53220639692475,111.92202955428299,295.54976920345604,123.4986584437948,70.59937800395815,146.23448114312484,-588.2449941107185,106.49913900124142,38.0,0,-18.377317688518684,-11.361160625866509,-34.58697618329816,85.72744383484843,-177.66397908040966,2.9161959905979264
007390,(주)네이처셀,2012,-917.0,-5.269785545294971,0.017568517217146872,-9.337471326406693,19.351583750109675,9.887888255835325,118.0221324433515,29.865055387713994,45.865055387714,34.74320241691843,65.25679758308158,132.01159420289855,105.01752444198486,96.10241006936995,53.021526138882926,1.542799597180262,12.18932527693857,-1105.3211009174313,187.82608695652175,162.12173913043478,73.30960854092527,25.704347826086956,-406.7889908256881,-2.1953675730110778,31.693856998992953,91.2231884057971,-0.6691068814055637,-5.660493827160494,-11.654804270462634,-3.3707039147215587,109.58710976837864,163.62925538313485,134.67634625987867,96.26680820948337,170.15886915186388,164.64914537768794,435.5587576048671,83.80040433743797,119.47738252086077,146.9111135111783,-918.4672518568535,113.77320345524723,69.0,1,-1.6798382650248116,-1.840886203423968,-5.298550724637681,90.11211174416468,-688.6214442013129,1.021318914932459
160550,(주)넥스트엔터테인먼트월드,2014,-7990.0,52.6272787621917,25.15129286631212,58.892198359199455,-50.98146214925185,23.441054516706732,556.9492270496007,84.77812350139963,15.221876498600375,72.03988089263609,27.959561488619002,21.129791318347884,21.007834264518017,307.8212629831346,307.8212629831346,59.74940613603666,3.199616358303501,0.0,38.811226701343735,38.23069539909592,93.08755760368663,0.5805313022478172,0.7306736811340055,57.236776071464426,6.050163382292259,8.398352839185089,13.686230248306998,-15.93506312199597,-73.6405529953917,-12.89104725641729,34.56176742837388,38.59868724233706,548.6159468224132,25.020486757279357,25.020486757279357,0.0,176.03737680706638,207.34233071425115,126.20851150478518,4286.376210235132,49.01698722004302,-341.27361610816206,30.0,1,9.782029976928413,3.3808424503998125,4.693015047371355,76.55894548329327,139.6173511462972,0.8057683311327326
065560,(주)녹원씨엔아이,2012,-3355.0,-7.116428811686128,-5.571922633534008,-8.051368809597047,-10.899208850582106,28.752932683631116,162.194791101465,60.30522503879979,38.137609932747026,43.83859286083808,56.156233833419556,86.99551569506725,85.33395068873713,111.85219831618336,109.04583723105705,27.553026383859287,21.541645111226075,23.677979479084453,128.0977106443238,126.15057823932028,100.0,1.9471324050035401,13.022888713496448,6.554578375581997,12.948784273150544,29.53740854378098,-4.756521739130434,-30.90741593735606,-134.03915301638034,-12.109727486013355,143.3264355923435,154.1907836153161,134.88070745352826,110.99314931292817,115.33177920239781,12.370871683811586,311.01257296811855,117.35859953077062,182.52190526385138,314.507889658304,412.76817640047676,-5.151236238946069,142.0,1,-5.923118570655117,-8.489394723228143,-19.365116827944302,71.24706731636888,-585.4357099329677,2.6204674453705774
040160,(주)누리플렉스,2012,2414.0,-11.06851837971539,-1.8708706744292536,-19.943193772354302,-23.84442829610439,34.10844673083306,84.55214096837989,34.150071038119776,54.18522888723,62.394345847280086,37.60565415271992,86.84317168715386,72.11441390914189,184.27526756743669,137.35774129497798,6.804007031569823,12.00423820646808,55.67176186645213,60.27093263348835,39.846780262827814,51.84190902311707,20.424152370660543,60.82059533386966,20.952633226575482,24.219182700411782,38.81630999015843,-3.5691244239631335,7.729004578490699,12.000994282873476,5.007467640225689,58.0441640378549,42.12439488998794,146.62690839694656,56.3302602213108,69.12829631329137,119.96058745436441,186.72244170733597,195.47730667109192,53.05511533720726,75.99709934735316,107.26714431934494,168.8109857285098,99.0,1,-6.426319283106538,-3.7301033062826594,-5.978271357171803,65.89155326916695,-630.7617817947063,5.479075827615168
