거래소코드,회사명,회계년도,OCF,총자본증가율,유형자산증가율,비유동자산증가율,유동자산증가율,매출액증가율,매출액총이익률,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,총자본회전률,자기자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전기간,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,1회전기간,종업원수,target,매출액영업이익률,총자본영업이익률,자기자본영업이익률,매출원가 대 매출액 비율,영업비용 대 영업수익 비율,감가상각비 대 총비용비율
097230,(주)HJ중공업,2012,-23782.0,-6.417614556864885,-7.7241596448238194,-7.196064712657288,-4.905604362061107,-11.834000288431708,7.494511279286743,52.755120645844634,31.13702418477613,65.46425388373407,26.051507548944258,73.94849245105574,251.28777580622975,104.20891280127076,92.88848207998615,83.7471674500597,11.11088332389535,15.549894283953163,-128.54238339469194,147.22310884136613,283.8549451010658,142.7164771415714,15.079174082637655,140.17620756604106,-603.7041181736795,-2.6440476998578455,35.715607964838156,137.0961273459414,0.27383946592144076,-1.7330252709834963,-3.588196126886024,-3.3103350345719775,38.7134851398454,71.16303647535538,163.39735520408973,223.38182863737336,54.639102341943115,62.46267164672064,83.6707548172669,131.33081900715197,277.9241024759946,28.464826834026496,42.301523769398216,-961.3505492474951,138.21302865588814,2634.0,1,2.0756131343311686,0.8035421823199763,3.084436402808251,92.50548872071326,261.0745738367917,3.9528240809019803
036530,(주)SNT홀딩스,2012,57311.0,-2.349554881618653,-0.4912849746066637,-0.6409125871317015,-4.125677526609146,0.29473881597215124,12.199610486891386,92.82670071725559,34.61928841045176,51.860037861992645,63.52211957758046,36.477880422419545,81.64091218438526,70.11656706760421,184.88776513139263,132.95986495166136,9.357396775947224,20.917449674780134,61.17241995870102,113.3573620633366,57.42547740062199,40.989497148380565,98.03687047491468,16.435980252241425,47.236522774401614,22.102564745164113,3.0221157219803905,4.757580102926884,20.273006860657677,7.571996126207423,91.39635760533282,3.4343670411985014,80.42540763331701,63.47398089789771,205.5672856372062,177.55743520599253,81.77345115570695,112.34922481559579,121.4752808988764,190.61952058119678,191.4809138576779,77.2915467248532,84.56993369717199,184.86986269500653,135.39875955056175,16.0,0,5.135220973782772,4.130022401036385,6.501707481584161,87.80038951310861,137.56855789203445,2.631465011083489
036530,(주)SNT홀딩스,2013,94174.0,3.579539101568072,0.20839683797679287,0.21541829996115408,7.203626541510405,-5.536,12.507675872638876,99.29967988545611,35.345546386149856,50.17569524320018,63.948462108268465,36.05153789173153,78.4627082325292,68.25511962134361,188.10133608771875,133.43978470824243,12.862650615863942,18.939816934490242,62.04395280118356,102.47598907392721,56.375926336890124,41.42087436743515,99.0138670783317,14.955051969454985,40.98134139387245,23.336292607027065,3.4963167278994365,5.467397670924391,30.382658545324258,12.154447987960936,125.3280455670597,5.97411264374816,73.34755273649064,58.54906499360419,202.07514517555666,180.6258754301026,76.16518575425067,106.6587277691134,137.00860141794303,187.42478304344363,194.74478992215018,73.1693595926495,80.00198943266152,164.180201948664,151.12751590999062,16.0,0,5.379327669681191,3.9456051993880443,6.1699766801395555,87.49238756432509,132.51255925847306,2.7398212295119087
036530,(주)SNT홀딩스,2014,95279.0,-5.108329890153249,-5.362333976522741,-3.1485657904010154,-7.081915406252451,-1.522043076236006,11.095965858764796,95.26690163163735,34.86465799315383,51.21195612999776,66.49251319880611,33.507486801193885,77.01913142744209,66.88108432793672,208.24370284326957,148.81403112213397,11.941370675236554,19.02251115407605,54.903583451118855,114.07337054004623,50.39287160196484,35.234554117464,98.20159535895576,15.158317484500838,39.744732522144,25.359703322907006,1.35236583113864,2.03386180801318,34.38582677165354,13.942969028957428,345.46410442349526,6.137627828327562,76.11961229564345,56.85509774004306,210.54948006027422,173.35592559787423,75.14679614094366,105.55606175169856,139.92816812947905,195.26901494730143,186.92161687736532,73.12951207735158,80.87068140533044,152.384705920463,153.49385940897017,16.0,0,4.219663418954827,3.2119914346895073,4.8306061542386995,88.9040341412352,162.95855278223036,2.794287417895362
036530,(주)SNT홀딩스,2015,120263.0,6.370633557403712,-0.5389212574972196,-1.521718940149041,14.655198406396924,3.889008776874144,17.448490060747286,110.91628926280337,40.19769410656194,47.41219677584265,70.49468702274592,29.505312977254068,67.2564114804064,59.262097524633525,262.9951356709777,201.031191645342,16.55110770193854,17.914075021977023,38.015824073864536,133.84675261158432,41.85466199422069,28.36490329566997,96.6471897607123,13.489758698550727,29.177510240105004,32.59209951915608,0.33134944689811646,0.470034637917043,218.58457374830851,18.789273539125897,1673.10795770729,7.457028287759952,74.34374324382259,55.89549057460429,255.81982256358035,142.67854474384387,75.51119688805734,101.87664359500934,125.0955946592987,207.67968785211605,175.75141978252014,77.80039740869078,86.62942037813524,131.73809658007184,158.16846969797496,16.0,0,10.016078157330318,7.446327428386248,10.562962604520258,82.55150993925272,74.20481137098072,3.0203098815933016
036530,(주)SNT홀딩스,2016,143866.0,1.8838700398421435,-2.102301371515734,-2.30321686154253,5.6587780090007485,-4.653364724907254,13.076868049684595,119.9556342422442,43.81728530462252,45.463713782328846,69.26559761249999,30.734447632724603,65.63678846268158,58.31616921183167,247.4500521444936,198.8142260032683,19.54584653362761,18.95910646110856,32.98461101496573,131.84506953621548,44.37187968068311,31.818552962225315,100.0,12.553326718457788,26.75675713305144,32.49697535673597,0.3117395974441878,0.45006411290664994,286.83730158730157,21.17900265867396,2088.040638606676,9.355921180984588,69.57358185630298,50.249302156566586,252.8442303929387,144.357654288873,65.54161447107018,83.55008250686107,120.03436951290887,190.39376357346447,191.7079599401704,75.62408187092512,83.70184571905095,107.88870841562796,167.38467516420627,16.0,0,4.700721857319373,3.2704605692392197,4.721623261717181,86.92319698250634,178.18712560353055,3.14239237813037
036530,(주)SNT홀딩스,2017,104209.0,-2.8958301096110812,-3.076144366197183,-4.615909771712401,-1.461900246318701,-1.9215711777329776,13.578206971180624,123.92213653963128,45.28325975281606,44.658380607359604,70.79073234941232,29.209267650587673,63.08506654081866,56.467157980691105,264.63230412056447,216.53528570346373,19.257469684438593,17.45258424872156,29.214812168259563,120.36240825717555,41.26142883564921,29.541503844222277,100.0,11.719924991426932,24.097787810628148,34.428972474285644,0.30379628874625786,0.42914697823263853,178.87020648967552,16.623383667101624,1598.2975460122698,6.909714670669801,70.2716227707433,49.444591247878,239.76369440522976,152.23322317644374,63.02145731207145,77.72785417497725,109.58068881651187,190.04099078494897,192.06382712087375,76.81813458729185,84.27106173071293,103.50033318532721,149.41129276094188,16.0,0,4.020615959134092,2.8253520798630123,3.9911327176522238,86.42179302881937,237.7145966983855,3.191557939366543
036530,(주)SNT홀딩스,2018,128943.0,-1.5068668677996901,-1.3124912016202643,-1.318382758775394,-1.6590498834750043,-7.084498114248432,12.858495675822642,123.49433449177478,44.83632828484721,44.74384235287995,71.11600479696854,28.883947895649374,62.91669854151769,54.60105840998348,306.0752647315474,248.35789137162516,12.716366225367636,13.731961103870455,28.007909360257372,105.80934189710354,40.61525668956112,25.38544178543513,100.0,15.229814904125991,29.112803753767118,37.20299834187626,0.30560568823962136,0.429728426269312,59.794238683127574,21.118843551565043,1996.0216718266252,9.201623912533085,66.29216566099056,46.361471437532586,239.32283572148313,152.51365332507436,59.484512582187165,72.9990352277321,113.59848698393715,210.77547177190095,173.17005481311375,73.58808522794705,80.06887500164274,91.86994694869784,134.25488847197653,16.0,0,5.184445663940878,3.4368813081437293,4.832781759824383,87.14150432417736,148.02064693737097,3.198932471160914
011810,(주)STX,2012,250636.0,-3.193359029837558,27.629701131448403,-5.809947004483508,3.7643913798177784,3.219816140252335,2.594258167950587,41.42951005994321,25.68990625473034,70.70660144238369,29.734169668261224,70.26583033173878,237.79578253317482,132.50502988342504,62.80940711893971,55.082983206167604,6.040265409967064,11.593006473813352,-20.77521038043701,130.41222465444437,236.31341017987722,156.85170767516306,48.78959557026436,79.46170250471414,-136.21831777572467,-17.345154330081787,39.405497777889174,132.5259733751748,-3.117352901003172,7.039565890253597,12.552587084211453,4.0688653132787325,121.56729318107318,179.97674854152464,679.5906028865652,53.708806220930704,211.33286354083114,254.8693225027784,29.50267295469857,528.0576008284534,69.12124727063159,83.39400756142132,330.64729541639764,-413.3309177042129,44.91511400439945,375.0,1,-6.6691721389319545,-6.933506887948801,-18.80868767001002,97.40574183204942,-52.835245404821194,0.9878548993295332
002710,(주)TCC스틸,2012,-4610.0,20.400149670944025,54.51127819548872,21.312691989603024,19.053743984390753,-2.544010388317808,8.658846245140495,66.48172552218229,21.533635336572736,60.066652773055175,41.315030328291414,58.684969671708586,145.38692649082518,92.47788482376815,113.94048457345538,61.44120178389797,2.8854837353340135,13.30002522787351,376.59582429095263,134.0772548007814,142.0426639055925,84.83002137177597,50.66768733520456,57.21264253381653,483.7985482301878,4.885798169699496,34.38888218583071,83.2357665299404,0.5688266871165644,-1.4360699655779325,-2.4506676873352045,-0.9195411469729943,91.6497566789881,111.05260709594387,496.03439234582316,73.58360743372222,124.73489881121213,226.19427901100883,131.2548844390101,327.6134276957661,111.41179486054291,83.63687625225009,219.60436460482455,1123.645695586884,169.08307186583082,319.0,0,1.183634960116648,1.0847985609143458,2.625675334846614,91.34135322148575,631.5470171890798,1.7842691421223775
