매출액총이익률,매출원가 대 매출액 비율,OCF,유동부채비율,영업비용 대 영업수익 비율,재고자산 대 순운전자본비율,매출채권회전기간,부채비율,순운전자본비율,매입채무회전기간,자기자본영업이익률,타인자본구성비율,자기자본구성비율,비유동장기적합률,target
7.494511279286743,92.50548872071326,-23782.0,142.7164771415714,261.0745738367917,-128.54238339469194,277.9241024759946,283.8549451010658,-2.644047699857845,223.38182863737336,3.084436402808251,73.94849245105574,26.051507548944254,104.20891280127076,1
12.199610486891386,87.80038951310861,57311.0,40.989497148380565,137.56855789203445,61.17241995870102,191.4809138576779,57.42547740062199,22.102564745164116,177.55743520599253,6.501707481584161,36.477880422419545,63.52211957758046,70.11656706760421,0
12.507675872638876,87.49238756432509,94174.0,41.42087436743515,132.51255925847306,62.04395280118356,194.74478992215015,56.37592633689013,23.336292607027065,180.6258754301026,6.169976680139556,36.05153789173153,63.94846210826847,68.25511962134361,0
11.095965858764796,88.9040341412352,95279.0,35.234554117464,162.95855278223036,54.903583451118855,186.92161687736527,50.39287160196484,25.35970332290701,173.35592559787423,4.8306061542387,33.507486801193885,66.49251319880611,66.88108432793672,0
17.448490060747286,82.55150993925272,120263.0,28.36490329566997,74.20481137098072,38.015824073864536,175.75141978252014,41.85466199422069,32.59209951915608,142.67854474384387,10.562962604520258,29.505312977254068,70.49468702274592,59.262097524633525,0
13.076868049684595,86.92319698250634,143866.0,31.818552962225315,178.18712560353055,32.98461101496573,191.7079599401704,44.37187968068311,32.49697535673597,144.357654288873,4.721623261717181,30.734447632724603,69.26559761249999,58.31616921183167,0
13.578206971180624,86.42179302881937,104209.0,29.54150384422228,237.7145966983855,29.214812168259563,192.06382712087373,41.26142883564921,34.428972474285644,152.23322317644374,3.991132717652224,29.209267650587677,70.79073234941232,56.46715798069111,0
12.858495675822642,87.14150432417736,128943.0,25.38544178543513,148.02064693737097,28.00790936025737,173.17005481311375,40.61525668956112,37.20299834187626,152.51365332507436,4.832781759824383,28.88394789564937,71.11600479696854,54.60105840998348,0
2.594258167950587,97.40574183204942,250636.0,156.85170767516306,-52.8352454048212,-20.77521038043701,69.12124727063159,236.3134101798772,-17.345154330081787,53.708806220930704,-18.80868767001002,70.26583033173878,29.734169668261224,132.50502988342504,1
8.658846245140495,91.34135322148576,-4610.0,84.83002137177597,631.5470171890798,376.59582429095263,111.41179486054293,142.0426639055925,4.885798169699496,73.58360743372222,2.625675334846614,58.684969671708586,41.31503032829141,92.47788482376816,0
5.336709042734804,94.6632909572652,-23782.0,75.70405078303473,-445.0555125225923,182.29547469782057,103.97879133363816,164.272035307041,11.823052404870989,78.07409855181268,-3.7649826478336528,62.16008931248149,37.83972676560439,83.43059522213859,0
6.822223720845094,93.1777762791549,-21440.0,150.05448639955986,1775.9404600811908,-246.53818700927908,110.6157573772387,191.47631693098745,-9.153522407400349,73.11252516883593,0.1819739946465789,65.6918952960158,34.308104703984206,118.86579312563354,1
7.843727980519528,92.15620977359929,120705.0,117.29289525414212,195.4075532737886,1.902782453418422,118.11541880273784,142.8375300321383,8.778572988808511,158.1360253017058,13.3099316671347,58.82020378531871,41.17979621468128,83.0198479960632,1
21.81637247055791,78.18362752944209,17789.0,26.57450250038666,903.3636614281776,-128.22140901049366,94.89730862265866,115.08480692890652,-3.090768815915628,85.3954337406818,1.16867299066866,53.50671140939597,46.49328859060402,103.52647785514118,1
7.81981805252446,92.18018194747552,-3614.0,157.55333944899832,600.3660322108345,-5.265395790518036,180.3593993935084,191.46272896753769,-14.32661556424184,155.20920690190692,4.04225727221614,65.68962891517336,34.30935580486319,131.18536197295148,0
7.983053308619409,92.0169466913806,2810.0,186.64001612469767,1178.5225718194256,-4.123256711316906,176.91773508836366,230.2707605482397,-18.45191476376952,138.68833975382884,2.4556570814297234,69.72181254132126,30.278187458678733,142.42913275329778,1
20.77559497463485,79.22440502536516,7352.0,29.374461080191267,500.3935716628403,54.55054780876494,150.23271253957986,68.9127537822372,14.909899248657654,107.27594112106044,4.780120718037156,40.798028596488784,59.20243548155057,81.95091259430704,0
19.47195850612926,80.52747026767659,13723.0,32.9305088720394,460.7501233755552,90.38760467331896,146.63633455575737,64.02485734385992,9.504043614805775,96.29042853389085,4.751817400140702,39.03363086586255,60.96636913413745,88.10856900941512,1
24.375183769479563,75.62628638635695,-5725.0,150.11884804964097,-597.5447452960074,-40.11526270291038,258.5479270802705,176.99602171791727,-22.654061936698405,117.8764334019406,-0.045037155653414,63.89810988415419,36.10143847526139,150.4916025402466,0
24.14467922049485,75.85532077950515,16383.0,129.98657031399884,761.9443087445042,-44.66709429121232,185.5869553317276,155.9045852785061,-19.47980547683665,161.33587420626233,2.61814926136727,60.922935440501,39.077064559499,139.58902579000295,0
25.296843324645238,74.70315667535476,-6987.0,144.77024311004655,1003.6007580543272,-49.70522878781007,107.14277439907328,169.14870185292256,-22.55683707132445,175.1059223863307,2.1791800886539465,62.84581745646114,37.15418254353886,148.81185598388507,1
21.452440513288995,78.54755948671101,14399.0,68.01488380096143,635.5992739621759,180.74139612967625,168.9769224858487,124.73786658350092,5.2731879584834696,125.8987765417026,4.591770892705432,55.50371571991176,44.49628428008824,92.4381741827464,0
23.71443853406693,76.28556146593307,47946.0,75.76748473727235,537.218473402857,381.43663134718594,184.9855764683628,111.80814558791008,0.5652110156318737,138.12984113731463,5.670752464275155,52.78740065108367,47.2124820365428,99.1201778274584,0
