OCF,비유동비율,비유동장기적합률,순운전자본비율,자기자본영업이익률,유동부채비율,매출액영업이익률,총자본영업이익률,부채비율,매출액총이익률,매출원가 대 매출액 비율,자기자본구성비율,타인자본구성비율,차입금비율,비유동부채비율,영업비용 대 영업수익 비율,종업원수,CASH FLOW 대 매출액비율,자기자본회전률,CASH FLOW 대 부채비율,비유동자산구성비율,유동자산 대 비유동자산비율,target
73877.0,291.7261673536317,140.88992266594943,-21.2729808983766,-5.3703595480125,190.94065515498824,-2.644273899516915,-1.3493355675423555,298.00029564135264,16.38207405050221,83.61792594949779,25.12560947696188,74.87439052303813,75.61508870959425,107.0596404863644,-597.5447452960074,2304.0,12.504866398323587,98.63612458364986,8.52234842454739,73.29797755138176,36.42941229845005,0
28381.0,291.7261673536317,143.6623423968744,-22.654061936698405,-4.6938566202864855,232.89460189395237,-1.9465237609164117,-0.908075646830286,411.36691537161465,18.07607867917497,81.92392132082503,19.34604569951398,80.65395430048602,138.35863975346385,140.17620756604106,-597.5447452960074,2142.0,5.748027349762634,99.61706849591444,3.324723095936788,78.93398665144862,26.68814061245034,0
48078.0,291.7261673536317,121.17776609032936,-13.08335964795604,26.75678218008052,284.9367157368678,8.025111058659405,4.625958368405395,411.36691537161465,24.11496552866036,75.88503447133964,17.92866981114231,82.07150214341354,180.5146030182663,140.17620756604106,200.4938542581212,1999.0,8.468641121119992,174.43556811897008,5.563462913718765,74.86153093228901,33.57982026165953,0
152722.0,254.62238788933195,87.34644165930774,9.517348402062066,26.75678218008052,96.05915208004502,16.17681632069634,12.691795207201793,287.5677505441692,34.455553972051995,65.544446027948,25.801914194368724,74.19798424608285,159.40044950542597,140.17620756604106,83.78957981579431,2004.0,20.95818446468173,177.87250506991143,20.904041413331218,65.69745004285814,52.21275464301284,0
248312.0,180.70584381589688,86.71081752056327,9.596073730047658,26.75678218008052,80.20396762957091,16.17681632069634,13.257606394886889,188.6045443777291,37.510670771141065,62.489329228858935,34.649453935947804,65.35044472526548,87.07990535714808,108.40057674815816,68.19194098406291,2047.0,20.95818446468173,129.7271357475326,38.50568563325068,62.61358811255496,59.709580101769966,0
183124.0,140.47626360800177,75.44107285507926,20.970651470746542,26.75678218008052,31.86170189426017,16.17681632069634,13.257606394886889,118.06831096231224,37.303637578008,62.696362421992,45.85719014317608,54.14280985682392,71.71641823790364,86.20660906805207,77.07811026921331,1940.0,20.95818446468173,85.21063287013533,34.02824103925835,64.41846730875064,55.23498800539757,0
180344.0,122.34326423014656,75.09359837667549,21.24479857182237,20.23542600896861,28.079915185031307,16.17681632069634,10.594411429921596,91.00094557228614,32.17432490784859,67.8256750921514,52.35576174786739,47.64423825213261,52.52063066806115,62.92103038725483,90.57463736691652,1955.0,20.95818446468173,65.99148088622448,35.49086672623007,64.0537479348994,56.118889563861785,0
-23782.0,251.28777580622972,104.20891280127076,-2.644047699857845,3.084436402808251,142.7164771415714,2.075613134331169,0.8035421823199763,283.8549451010658,7.494511279286743,92.50548872071326,26.051507548944254,73.94849245105574,137.0961273459414,140.17620756604106,261.0745738367917,2634.0,-3.310335034571977,71.16303647535538,-1.7330252709834963,65.46425388373407,52.75512064584464,1
-4906.0,212.65184737133927,150.4916025402466,-22.654061936698405,13.740611926004334,205.7185342003125,9.121938160888767,4.0569702201122135,238.6914663037452,17.96613572480257,82.03386427519743,29.52539699075797,70.47460300924203,180.5146030182663,32.97293210343263,96.95524578136464,52.0,-8.208405835898809,72.58242759123202,-5.180132618152638,62.78630214456863,59.27040864700863,0
6114.0,188.55424312426447,150.4916025402466,-22.654061936698405,6.559734995423441,164.01734733905766,4.839228295819935,2.320775956452682,182.65266094233533,12.67363344051447,87.32636655948554,35.3791114743481,64.62088852565189,158.09397201760888,18.63531360327769,161.8936877076412,51.0,9.829581993569132,72.69412369688186,7.294898105283252,66.70881586454686,49.90522422561258,0
5159.0,107.60385686411942,105.35462571407376,-3.376395627520898,16.565951239841635,59.8969482278505,16.17681632069634,10.223884959373356,62.03186269866829,24.240568348848605,75.7594316511514,61.71625650318583,38.28374349681417,55.28045615563848,2.134914470817784,35.78044596912521,53.0,10.532010452392615,49.6417532303015,15.754595981188544,66.40907230958088,50.58007499603894,0
13384.0,97.60037316011334,96.64368681252888,2.4836700592435057,19.16246285674798,35.483035035588415,16.17681632069634,13.257606394886889,36.47294589178357,27.708093518040727,72.29190648195927,73.27459618208518,26.725403817914835,31.93283117960058,1.4519991105876937,25.865488640461592,47.0,20.95818446468173,45.52691261644664,63.395225464190986,71.51627930528129,39.8283033896805,0
12246.0,82.77499921361392,81.3459249756565,16.68233342549074,18.675096725488345,12.017552137397375,16.17681632069634,13.257606394886889,15.168132523744,30.54379614291265,69.45620385708735,86.07914403561074,13.920855964389268,8.411185555660406,1.7567865119058852,25.77059120768065,43.0,20.95818446468173,40.25570941662687,64.83786691255571,72.75366325684269,37.4482234467034,0
3337.0,291.7261673536317,133.8803555429507,-21.01763365188532,7.597555154113275,177.7417935733875,15.616522692729475,1.622815786316926,368.1711392120707,28.381784250726284,71.6201396771649,21.359710504218484,78.64028949578153,180.5146030182663,140.17620756604106,81.74202291487003,48.0,6.420147372876464,30.499533502719768,0.8483689807623371,82.171901567175,21.696100604719053,0
