회사명,회계년도,거래소코드
현대이지웰,2014,090850
현대이지웰,2015,090850
협진 IR,2017,138360
협진 IR,2018,138360
협진 IR,2019,138360
형지I&C,2014,011080
형지I&C,2019,011080
홈센타홀딩스,2012,060560
홈센타홀딩스,2017,060560
화성밸브,2018,039610
화신정공,2011,126640
효성오앤비,2018,097870
휴네시온,2019,290270
휴림로봇,2016,090710
휴림로봇,2017,090710
휴림로봇,2018,090710
휴먼엔,2015,032860
휴먼엔,2017,032860
휴센텍,2017,215090
휴센텍,2019,215090
휴엠앤씨,2019,263920
휴온스,2018,243070
휴온스글로벌,2015,084110
휴온스글로벌,2016,084110
휴젤,2018,145020
휴젤,2019,145020
흥국,2018,010240
흥국에프엔비 IR,2019,189980
힘스,2019,238490
AP위성,2016,211270
APS홀딩스,2016,054620
APS홀딩스,2017,054620
BNGT,2011,032790
BNGT,2012,032790
BNGT,2013,032790
BNGT,2014,032790
BNGT,2015,032790
BNGT,2016,032790
BNGT,2017,032790
BNGT,2019,032790
CJ ENM,2018,035760
CMG제약 IR,2012,58820
CMG제약 IR,2019,58820
CNT85,2011,056730
CNT85,2013,056730
CNT85,2015,056730
CNT85,2016,056730
CNT85,2017,056730
CNT85,2019,056730
CS,2016,065770
CS,2017,065770
CSA 코스믹,2012,083660
CSA 코스믹,2019,083660
DMS,2012,068790
EG,2012,037370
ES큐브 IR,2017,50120
EV수성,2012,084180
EV수성,2018,084180
GH신소재,2017,130500
HB테크놀러지,2013,078150
HB테크놀러지,2015,078150
HB테크놀러지,2017,078150
HB테크놀러지,2018,078150
HLB,2012,028300
HLB,2013,028300
HLB,2018,028300
HLB생명과학,2012,067630
HLB생명과학,2016,067630
HLB생명과학,2017,067630
HLB생명과학,2018,067630
HLB제약,2016,047920
HLB제약,2019,047920
HLB테라퓨틱스,2011,115450
HLB테라퓨틱스,2013,115450
iMBC,2019,052220
ISC IR,2014,095340
ISC IR,2015,095340
ITX-AI,2013,099520
ITX-AI,2019,099520
JW신약,2011,067290
JYP Ent.,2013,035900
KB오토시스,2013,024120
KBI메탈,2016,024840
KCC건설,2011,021320
KCC건설,2012,021320
KCC건설,2013,021320
KCC건설,2015,021320
KCC건설,2016,021320
KD,2013,044180
KD,2014,044180
KD,2017,044180
KD,2019,044180
KG모빌리언스,2011,046440
KG모빌리언스,2017,046440
KG모빌리언스,2019,046440
KG이니시스,2015,035600
KG이니시스,2017,035600
KH 전자,2013,111870
KH 전자,2018,111870
KH바텍,2015,060720
KH바텍,2019,060720
KMH IR,2015,122450
KMH IR,2016,122450
KMH IR,2018,122450
KMH하이텍,2014,052900
KMH하이텍,2015,052900
KNN,2012,058400
KNN,2015,058400
KNN,2016,058400
KPX생명과학,2018,114450
KT서브마린,2013,060370
LX세미콘 IR,2015,108320
NE능률,2012,053290
NE능률,2017,053290
NEW,2015,160550
NHN벅스,2012,104200
NHN한국사이버결제,2011,060250
NICE평가정보,2012,030190
NICE평가정보,2013,030190
PN풍년,2011,024940
RFHIC,2017,218410
SBI인베스트먼트,2012,019550
SBI핀테크솔루션즈 IR,2015,950110
SBW생명과학 IR,2016,151910
SBW생명과학 IR,2017,151910
SBW생명과학 IR,2018,151910
SCI평가정보,2011,036120
SCI평가정보,2018,036120
SDN,2013,099220
SFA반도체,2015,036540
SG,2019,255220
SGA,2012,049470
SGA,2014,049470
SGA,2019,049470
SGA솔루션즈,2018,184230
SM C&C,2012,048550
SM C&C,2013,048550
SM Life Design,2011,063440
SM Life Design,2012,063440
SM Life Design,2013,063440
SM Life Design,2017,063440
SM Life Design,2019,063440
SV인베스트먼트,2019,289080
THE E&M,2012,089230
THE E&M,2015,089230
THE E&M,2016,089230
THE E&M,2017,089230
THE MIDONG,2013,161570
THE MIDONG,2019,161570
THQ,2015,192410
THQ,2017,192410
THQ,2018,192410
TKG애강,2014,022220
TKG애강,2015,022220
TPC,2012,048770
UCI,2013,038340
UCI,2014,038340
UCI,2015,038340
UCI,2016,038340
UCI,2017,038340
UCI,2019,038340
WI,2013,073570
WI,2015,073570
WI,2016,073570
WI,2017,073570
WI,2019,073570
YW,2015,051390
