회사명,거래소코드,회계년도,유동자산_연결,비유동자산_연결,유동부채_연결,비유동부채 _연결,자본금_연결,자본잉여금_연결,기타포괄손익누계액_연결,이익잉여금_연결,매출액_연결,매출원가_연결,매출총이익_연결,판관비_연결,영업손익_연결,금융수익_연결,기타이익_연결,기타손실_연결,법인세비용_연결,당기순이익_연결,총포괄손익_연결,OCF_연결,ICF_연결,FCF_연결,매출채권 및 기타유동채권_연결,현금및현금성자산_연결,유형자산_연결,자산_연결,부채_연결,자본_연결,감가상각비_연결,감가(주석)_연결,총자본증가율_연결,유형자산증가율_연결,비유동자산증가율_연결,유동자산증가율_연결,재고자산증가율_연결,매출액증가율_연결,매출액총이익률_연결,유동자산 대 비유동자산비율_연결,당좌자산구성비율_연결,비유동자산구성비율_연결,자기자본구성비율_연결,타인자본구성비율_연결,비유동비율_연결,비유동장기적합률_연결,유동비율_연결,당좌비율_연결,현금비율_연결,매출채권비율_연결,재고자산 대 순운전자본비율_연결,매출채권 대 매입채무비율_연결,매입채무 대 재고자산비율_연결,부채비율_연결,유동부채비율_연결,단기차입금 대 총차입금비율_연결,비유동부채비율_연결,비유동부채 대 순운전자본비율_연결,순운전자본비율_연결,차입금의존도_연결,차입금비율_연결,이자보상배율(이자비용)_연결,CASH FLOW 대 부채비율_연결,CASH FLOW 대 차입금비율_연결,CASH FLOW 대 매출액비율_연결,총자본회전률_연결,자기자본회전률_연결,매입채무회전률_연결,매입채무회전기간_연결,유동자산회전률_연결,당좌자산회전률_연결,재고자산회전률_연결,재고자산회전기간_연결,매출채권회전률_연결,매출채권회전기간_연결,비유동자산회전률_연결,유형자산회전율_연결,순운전자본회전률_연결,1회전기간_연결,종업원수_연결,재고자산_연결,매입채무 및 기타유동채무_연결,단기차입금_연결,장기차입금_연결,사채_연결,이자비용_연결
동일고무벨트(주),163560,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일고무벨트(주),163560,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일산업(주),004890,2018/12,299255.0,110469.0,48544.0,6243.0,12126.0,14535.0,0.0,342164.0,391030.0,357591.0,33440.0,16136.0,17304.0,6773.0,2727.0,2882.0,5362.0,15655.0,14455.0,2438.0,4068.0,-3385.0,56471.0,38482.0,70676.0,409724.0,54787.0,354937.0,8292.95,8293.0,3.26,-2.58,5.7,2.39,37.89,3.16,8.55,270.89,53.89,26.96,86.63,13.37,31.12,30.59,616.46,454.83,79.27,71.5,31.3,299.59,23.87,15.44,13.68,0.0,1.76,2.49,61.19,0.0,0.0,999999999.0,24.33,0.0,3.41,0.97,1.12,21.49,16.98,1.32,1.71,5.78,63.18,6.78,53.87,3.64,5.46,1.14,0.01,,78464.0,45403.0,0.0,0.0,0.0,0.0
동일산업(주),004890,2016/12,268588.0,102806.0,38387.0,6537.0,12126.0,14535.0,-1213.0,311841.0,304359.0,276931.0,27428.0,15149.0,12280.0,4986.0,2653.0,2509.0,3975.0,13434.0,12560.0,21359.0,-27568.0,-1389.0,49976.0,24236.0,75668.0,371394.0,44924.0,326470.0,9349.34,9349.0,6.87,-10.2,-7.67,13.72,14.15,-1.26,9.01,261.26,58.1,27.68,87.9,12.1,31.49,30.87,699.68,562.13,63.14,92.99,22.94,302.34,30.76,13.76,11.76,0.0,2.0,2.84,61.98,0.0,0.0,999999999.0,70.3,0.0,10.38,0.85,0.95,24.11,15.14,1.21,1.5,6.15,59.4,6.51,56.1,2.84,3.81,1.07,0.01,,52800.0,34422.0,0.0,0.0,0.0,0.0
동일산업(주),004890,2015/12,236180.0,111344.0,27895.0,3900.0,12126.0,14535.0,-1157.0,300570.0,308237.0,292215.0,16022.0,14058.0,1964.0,3272.0,2113.0,1578.0,1272.0,4203.0,4127.0,41804.0,-22221.0,-5287.0,44786.0,31885.0,84259.0,347524.0,31795.0,315729.0,10224.1,10224.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,212.12,54.65,32.04,90.85,9.15,35.27,34.84,846.69,680.87,114.3,96.1,22.21,493.65,19.47,10.07,8.83,0.0,1.24,1.87,59.93,0.0,0.0,590.26,131.48,0.0,13.56,0.89,0.98,34.23,10.66,1.31,1.62,6.66,54.77,6.93,52.64,2.77,3.66,1.17,0.01,,46255.0,27186.0,0.0,0.0,0.0,3.0
동일산업(주),004890,2014/12,236657.0,120268.0,38818.0,2230.0,12126.0,14535.0,-1429.0,298994.0,364150.0,338017.0,26133.0,15715.0,10418.0,4630.0,4240.0,3368.0,3148.0,11211.0,11958.0,5688.0,-5532.0,-3404.0,54397.0,17622.0,92251.0,356925.0,41048.0,315877.0,10752.24,10752.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,196.77,46.37,33.7,88.5,11.5,38.07,37.81,609.66,426.32,45.4,75.19,35.97,397.51,18.92,12.99,12.29,0.0,0.71,1.13,55.43,0.27,0.31,558.54,13.86,588.46,1.56,1.02,1.15,27.05,13.49,1.54,2.2,5.12,71.33,6.8,53.64,3.03,3.95,1.32,0.01,,71167.0,35888.0,920.0,0.0,0.0,19.0
동일산업(주),004890,2013/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일산업(주),004890,2012/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일산업(주),004890,2011/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동일산업(주),004890,2017/12,292257.0,104517.0,45389.0,6647.0,12126.0,14535.0,278.0,331651.0,379064.0,340379.0,38685.0,15223.0,23462.0,6451.0,2814.0,2385.0,6936.0,23347.0,23980.0,24225.0,-7000.0,-5899.0,59969.0,35008.0,72549.0,396774.0,52036.0,344738.0,9418.38,9418.0,6.83,-4.12,1.66,8.81,7.77,24.54,10.21,279.63,59.32,26.34,86.89,13.11,30.32,29.74,643.89,518.53,77.13,104.24,23.05,335.87,31.04,15.09,13.17,0.0,1.93,2.69,62.22,0.0,0.0,999999999.0,43.8,0.0,6.01,0.99,1.13,22.36,16.32,1.35,1.68,6.91,52.82,6.99,52.2,3.66,5.11,1.18,0.01,,56904.0,41177.0,0.0,0.0,0.0,0.0
