OCF,비유동비율,비유동장기적합률,유동자산 대 비유동자산비율,유동부채비율,부채비율,순운전자본비율,자기자본영업이익률,CASH FLOW 대 매출액비율,매출액영업이익률,영업비용 대 영업수익 비율,target
73877.0,291.7261673536317,140.88992266594943,36.42941229845005,190.94065515498824,298.00029564135264,-21.2729808983766,-5.3703595480125,12.504866398323587,-2.644273899516915,-597.5447452960074,0
28381.0,291.7261673536317,143.6623423968744,26.68814061245034,232.89460189395237,411.36691537161465,-22.654061936698405,-4.6938566202864855,5.748027349762634,-1.9465237609164117,-597.5447452960074,0
48078.0,291.7261673536317,121.17776609032936,33.57982026165953,284.9367157368678,411.36691537161465,-13.08335964795604,26.75678218008052,8.468641121119992,8.025111058659405,200.4938542581212,0
152722.0,254.62238788933195,87.34644165930774,52.21275464301284,96.05915208004502,287.5677505441692,9.517348402062066,26.75678218008052,20.95818446468173,16.17681632069634,83.78957981579431,0
248312.0,180.70584381589688,86.71081752056327,59.709580101769966,80.20396762957091,188.6045443777291,9.596073730047658,26.75678218008052,20.95818446468173,16.17681632069634,68.19194098406291,0
183124.0,140.47626360800177,75.44107285507926,55.23498800539757,31.86170189426017,118.06831096231224,20.970651470746542,26.75678218008052,20.95818446468173,16.17681632069634,77.07811026921331,0
180344.0,122.34326423014656,75.09359837667549,56.118889563861785,28.079915185031307,91.00094557228614,21.24479857182237,20.23542600896861,20.95818446468173,16.17681632069634,90.57463736691652,0
-4906.0,212.65184737133927,150.4916025402466,59.27040864700863,205.7185342003125,238.6914663037452,-22.654061936698405,13.740611926004334,-8.208405835898809,9.121938160888767,96.95524578136464,0
6114.0,188.55424312426447,150.4916025402466,49.90522422561258,164.01734733905766,182.65266094233533,-22.654061936698405,6.559734995423441,9.829581993569132,4.839228295819935,161.8936877076412,0
5159.0,107.60385686411942,105.35462571407376,50.58007499603894,59.8969482278505,62.03186269866829,-3.376395627520898,16.565951239841635,10.532010452392615,16.17681632069634,35.78044596912521,0
13384.0,97.60037316011334,96.64368681252888,39.8283033896805,35.483035035588415,36.47294589178357,2.4836700592435057,19.16246285674798,20.95818446468173,16.17681632069634,25.865488640461592,0
12246.0,82.77499921361392,81.3459249756565,37.4482234467034,12.017552137397375,15.168132523744,16.68233342549074,18.675096725488345,20.95818446468173,16.17681632069634,25.77059120768065,0
3337.0,291.7261673536317,133.8803555429507,21.696100604719053,177.7417935733875,368.1711392120707,-21.01763365188532,7.597555154113275,6.420147372876464,15.616522692729475,81.74202291487003,0
-11270.0,291.7261673536317,137.28054778215764,21.696100604719053,154.04269258066276,380.6212807774199,-22.654061936698405,1.3408309220942294,-10.117289313640311,1.6869058739491178,1469.299674267101,0
-856.0,81.96698571230407,71.68216740800646,94.97564919802186,45.467856537353,59.815662520614666,20.26135596489536,3.3646213837641223,-0.4413508636246455,1.125547821603506,592.6706367384334,0
5950.0,73.90479748272244,68.2568539504764,114.80451814841456,50.47629994683832,58.75084412132359,21.65011901637267,9.23001767266771,2.565628341784815,2.770016213046328,179.57658779576587,0
24749.0,59.85018459821694,55.98045747279592,119.65645826721676,24.55096928902976,31.46360862803756,35.799748963798415,25.25256122606456,10.717889421557036,9.212127511227171,56.31346370816096,0
24631.0,51.61927416362961,48.05668427468508,144.19430528251632,18.638020208192398,26.051327935752788,44.26294786229343,25.04200947122624,11.380006560679352,10.603351490706476,62.55337690631808,0
11686.0,38.68420294171335,35.959170186734774,209.16654249242535,12.020482471730922,19.59861272564824,50.50731864627439,23.15422378925727,5.350781600564107,11.035357466643468,60.31699929463508,1
13157.0,88.31423233135138,78.88848207620288,92.0739204860525,57.68041264551983,69.6286083859875,13.932769733827897,13.40938246895311,5.83839576131669,11.17846223480495,68.67532055099043,0
12061.0,121.31867395166428,111.02585115100948,42.879246578857,64.06855304049685,73.33920730159794,-6.950545048703541,11.300525305151057,5.861939917667472,11.469689090210982,75.2023390821645,0
34444.0,108.19806046776954,96.67986510677687,61.09520053650739,62.38813462635482,74.30188248716486,2.131754023548263,7.914204221334854,13.089013193895545,6.590107618410652,148.34505824011072,0
10257.0,107.21483741939932,98.1149862341535,69.98556766513767,72.97506982517844,82.2497500086204,1.1302334491394948,9.15528774869832,3.805541539283488,7.880813867204892,126.51946706840543,0
35246.0,100.27868245589954,91.83531984107938,73.3258118438572,64.61481509211079,73.80884047301147,5.129407823100762,9.802135456311326,13.19709144282109,8.823771688745442,109.45429856573028,0
-9544.0,95.70685889397323,92.00820735548308,65.3711489151232,54.25120211272869,58.27111690598191,5.252677367390951,4.857448946542317,-4.138140351637869,5.072083595291261,221.63617712429476,1
26635.0,71.64959139362595,64.26827299017904,122.93776363276432,48.24882982553763,59.73399670496329,24.93869577393597,8.25559447044832,11.54489657922569,6.5593737538360175,156.849269807705,0
20129.0,65.78659198142962,59.34169978196252,139.0769065553902,46.42040723639391,57.28105366739838,28.65805727119596,8.479802185047813,10.026849181324128,8.37056851522533,131.74244227564867,0
-23782.0,64.5202755725448,58.80543574127135,127.2189349112426,36.88406599490644,46.60228295773495,30.83031210592686,6.6331909894903065,-10.117289313640311,5.675868290854265,184.047031499492,0
2205.0,57.10328435609334,52.45550866801904,139.29406600725005,27.784356093344854,36.644770959377695,37.8771394957558,14.657735522904062,0.8477704214630096,13.040669911647326,70.37856005660711,0
35018.0,59.30200174064404,55.42806707855251,155.39493381079575,44.465622280243686,51.45474325500435,31.48585515541228,0.520017406440383,13.781730882758078,0.4703057971584872,1775.9404600811908,0
