비유동부채비율,비유동부채 대 순운전자본비율,유동자산 대 비유동자산비율,OCF,target
59.27004526605679,46.44309951384066,471.1371137113711,-1573.0,0
2.8879319141988287,4.325894221950474,215.8391233124329,-3939.0,0
0.7081199110258556,1.7720355428454702,95.07508314576545,725.0,0
1.8715149443459311,5.028125358741821,86.81801658900895,2410.0,0
0.7269454444752146,1.0555036978530912,244.5727769498261,3321.0,0
0.7555337744016989,1.0519881153775077,286.6059772061678,1948.0,1
4.061716006021074,9.04267202859696,96.31813361611876,5225.0,0
2.6762956669498723,3.2655647065599265,436.8678815489749,2591.0,0
1.976706697831869,2.439570277529096,444.5032220832933,2889.0,0
1.1841946268175776,1.6423204759377708,285.1869806094183,-2778.0,1
19.40961913648316,66.75418635859735,60.09164835577592,13225.0,0
11.123906705539358,34.048723897911835,69.51448373251083,12813.0,0
9.01072705601907,26.48398271768324,74.03528601451707,16224.0,0
9.24419710806697,19.91903248949472,98.85886226864994,19258.0,0
9.85701183925296,23.731024965499937,91.89535504538176,17871.0,0
4.0892118882448925,11.127151884942252,98.28152640889564,20445.0,0
84.44967830882352,61.13142363610192,400.6965699208444,-7797.0,0
66.77967486316477,86.60345375569446,115.00022775930395,-10647.0,0
5.210968693420942,6.981189661542415,305.397348395701,11398.0,1
22.474331844188416,96.1764212644642,105.42528372019456,2479.0,1
14.615317515701326,21.69212843086484,175.6831610044313,-4544.0,0
41.50453955901427,113.28388401888066,98.40980034159844,-2334.0,1
8.96401959402896,32.44727130899163,91.49105286756614,35237.0,1
0.3352468315530431,0.9899143508887708,97.69782647627471,50778.0,1
8.59343012818494,16.674815131699567,147.74652940689427,2753.0,1
20.20537499576372,172.3121387283237,74.28616057482037,-5809.0,0
54.27395649617872,-87.673314339981,51.53641159514875,1530.0,0
56.74291567087744,-68.32008769525898,67.932229130084,-971.0,0
84.44967830882352,-278.67186176520414,69.16724819725518,154.0,0
13.592089728453368,132.1377331420373,106.77808727948003,247.0,0
84.44967830882352,-278.67186176520414,33.36278159904083,-550.0,0
24.234742551857607,-18.05682487459128,69.97268422329329,11791.0,0
54.061603116031165,-59.57080333192151,56.20289733712946,11048.0,0
46.53247275582709,-109.28391507736596,57.84367341151688,3399.0,0
63.99886526834631,-278.67186176520414,57.40531153043105,17309.0,0
84.44967830882352,-278.67186176520414,52.201938650107024,5515.0,1
72.35375562478367,-278.67186176520414,48.0778623378238,19282.0,0
4.192200981737248,6.348400203148806,410.994806232521,20298.0,0
4.770615055614584,6.711574485799164,427.0150505010181,13116.0,0
3.7931986507736446,6.022374263879096,315.00720651822223,12342.0,0
5.236457338747714,7.340396368503378,437.72694879017206,12706.0,0
3.516175818863059,4.716165464321418,471.7038222098564,17688.0,0
1.747589681229914,2.5128640655442878,401.0627967198964,15201.0,0
2.230386273261457,5.809354229247937,71.44748996558461,7480.0,0
5.05838575716459,11.33335636392948,85.52011567576763,4098.0,1
17.42167101827676,53.66981701186406,54.16154476541693,-7365.0,0
9.709785305858237,35.16723976242576,65.85981234723646,6008.0,0
9.136131749962956,28.437767674771035,62.16602528862012,3236.0,0
4.431013007167215,14.13957125171043,77.99413325883503,647.0,0
6.764508089718739,19.124308002013084,81.93932677656186,-3296.0,0
4.276590891811754,11.99616122840691,83.07483520744474,239.0,0
18.63948287945787,-255.77734726354387,48.14544173261608,-11102.0,0
15.695462729204316,53.49199018835928,146.9968359314709,50778.0,0
14.908902212746275,49.96329173062804,174.00226048073583,-11102.0,0
10.292134884944147,32.16566313229174,215.15785729919023,50778.0,0
11.56406225372718,33.862054002879624,214.0204122473484,50778.0,0
16.7139665398835,48.67449255043512,158.0663076187893,50778.0,0
0.2685901550728065,0.0,522.6526497695852,6092.0,0
0.2685901550728065,0.0,522.6526497695852,853.0,0
0.2685901550728065,0.0,522.6526497695852,-5527.0,1
5.05443234836703,11.652474550227288,142.35219955873745,4001.0,0
6.971616232699976,14.419484741157634,150.60424169667868,1562.0,0
6.10667505801833,11.523473742809427,159.09797822706065,12091.0,0
5.14642974662718,11.042078508895791,151.28161888701516,159.0,0
3.0865143849966787,6.672742839782362,130.19512633755957,17990.0,0
4.522196344131555,10.277488170663243,103.1777499198274,6749.0,0
3.219760576350143,4.672882501847455,233.00606137138527,11268.0,0
2.90430328175786,5.404953379141173,140.74237670210496,9017.0,0
3.69202487739096,6.3376713117586085,179.07684129702912,24674.0,0
3.068433984883137,5.315091088496487,168.03622998162243,9648.0,0
3.2573944101570342,5.14352324056535,214.9108854357845,46527.0,0
3.3744294943986723,5.468990162926529,205.85290227146655,32247.0,0
30.58407875932885,238.8200041330853,48.216432415428,13827.0,0
44.56156361700509,-267.381582549968,43.169275181841336,-1508.0,1
16.632293682774378,27.38194734642708,315.77154536164414,12443.0,0
18.259988498507543,23.7540522247159,421.4158121071784,-1989.0,0
18.391348588466364,20.1975051975052,522.6526497695852,9032.0,0
9.46051014521833,11.650605386706202,522.6526497695852,-2082.0,0
28.423639689071788,30.00030163182819,495.1378871446754,610.0,1
14.779131067078714,18.3705090545208,490.4607005068463,-933.0,0
1.3099343106470691,1.9075403949730705,283.0726553739007,6436.0,0
29.05679069902969,-205.48114568308264,69.78878398176786,3.0,0
19.720725134737872,176.9230769230769,87.83639645553004,-1535.0,0
4.859258212146378,8.303892260772413,160.62685884237015,1069.0,0
8.532517585247405,12.967194599847662,173.10710241061318,2156.0,1
70.03986767325473,81.34574651495001,126.38573088777729,2068.0,1
67.59803281542412,76.6823006665021,143.45039171643018,-3637.0,0
