회사명,회계년도,거래소코드
신성이엔지,2016,011930
신송홀딩스,2015,006880
신송홀딩스,2017,006880
신송홀딩스,2018,006880
신송홀딩스,2019,006880
신일전자,2014,002700
신일전자,2015,002700
신일전자,2017,002700
신일전자,2019,002700
신풍제약,2011,019170
신풍제지,2011,002870
신풍제지,2019,002870
쌍용씨앤이,2012,003410
쌍용씨앤이,2015,003410
쌍용자동차,2011,003620
쌍용자동차,2019,003620
쎌마테라퓨틱스,2011,015540
쎌마테라퓨틱스,2014,015540
쎌마테라퓨틱스,2015,015540
쎌마테라퓨틱스,2016,015540
씨아이테크,2016,004920
씨아이테크,2019,004920
아세아,2012,002030
아세아,2013,002030
아세아시멘트,2019,183190
아세아제지,2012,002310
아센디오,2011,012170
아센디오,2012,012170
아센디오,2013,012170
아센디오,2014,012170
아센디오,2015,012170
아센디오,2019,012170
아시아나항공,2019,020560
아이에스동서,2011,010780
아이에스동서,2015,010780
아이에이치큐,2014,003560
아이에이치큐,2015,003560
아이에이치큐,2018,003560
알루코,2011,001780
알루코,2012,001780
애경케미칼,2014,161000
에넥스,2012,011090
에스엘,2018,005850
에스엠벡셀,2017,010580
에스원,2013,012750
에스제이엠,2011,123700
에스제이엠,2012,123700
에스제이엠홀딩스,2012,025530
에스제이엠홀딩스,2014,025530
에스제이엠홀딩스,2015,025530
에스제이엠홀딩스,2016,025530
에스제이엠홀딩스,2017,025530
에스제이엠홀딩스,2018,025530
에스제이엠홀딩스,2019,025530
에쓰씨엔지니어링,2015,023960
에쓰씨엔지니어링,2018,023960
에이리츠,2016,140910
에이리츠,2018,140910
에이블씨엔씨,2011,078520
에이블씨엔씨,2012,078520
에이블씨엔씨,2013,078520
에이블씨엔씨,2014,078520
에이블씨엔씨,2015,078520
에이블씨엔씨,2016,078520
에이블씨엔씨,2017,078520
에이프로젠 MED,2012,007460
에이프로젠 MED,2013,007460
에이프로젠 MED,2018,007460
에이프로젠제약,2012,003060
에이프로젠제약,2015,003060
엔에이치엔,2015,181710
엔케이,2011,085310
엘에스일렉트릭,2014,010120
엘에스일렉트릭,2015,010120
엠씨넥스,2015,097520
엠씨넥스,2018,097520
영진약품,2013,003520
영진약품,2016,003520
영풍제지,2013,006740
영화금속,2012,012280
영화금속,2013,012280
영흥,2011,012160
영흥,2013,012160
영흥,2015,012160
오리엔트바이오,2019,002630
오리온홀딩스,2015,001800
오리온홀딩스,2016,001800
우리종금,2012,010050
우리종금,2013,010050
우리종금,2014,010050
우진,2011,105840
우진,2012,105840
우진플라임,2015,049800
웅진,2012,016880
웅진,2013,016880
웅진,2019,016880
웅진씽크빅 IR,2012,095720
웰바이오텍 IR,2011,010600
웰바이오텍 IR,2018,010600
유니드,2015,014830
유니드,2017,014830
유니드,2018,014830
유니온,2016,000910
유니켐,2011,011330
유니켐,2012,011330
유니켐,2013,011330
유니켐,2014,011330
유니켐,2015,011330
유니퀘스트,2015,077500
유성기업,2011,002920
유수홀딩스,2014,000700
유안타증권,2014,003470
유안타증권,2015,003470
유안타증권,2016,003470
이아이디,2013,093230
이아이디,2015,093230
이엔플러스,2011,074610
이엔플러스,2012,074610
이엔플러스,2013,074610
이엔플러스,2016,074610
이엔플러스,2017,074610
이연제약,2017,102460
이월드,2018,084680
인바이오젠,2011,101140
인바이오젠,2012,101140
인바이오젠,2014,101140
인스코비,2012,006490
인스코비,2013,006490
인스코비,2014,006490
인스코비,2015,006490
인천도시가스,2014,034590
인터지스,2012,129260
일동제약,2016,249420
일동제약,2017,249420
일동홀딩스,2012,000230
일동홀딩스,2013,000230
일동홀딩스,2016,000230
일성신약,2015,003120
일신방직,2018,003200
일신석재,2012,007110
일진머티리얼즈,2012,020150
일진머티리얼즈,2013,020150
일진머티리얼즈,2015,020150
일진머티리얼즈,2019,020150
일진전기,2014,103590
일진전기,2015,103590
일진홀딩스,2014,015860
일진홀딩스,2015,015860
일진홀딩스,2017,015860
일진홀딩스,2018,015860
잇츠한불,2016,226320
잇츠한불,2017,226320
전방,2017,000950
전방,2019,000950
제이준코스메틱,2011,025620
제이준코스메틱,2013,025620
제이준코스메틱,2014,025620
제이준코스메틱,2015,025620
제이준코스메틱,2016,025620
제이준코스메틱,2017,025620
제일약품,2018,271980
제일파마홀딩스,2017,002620
조비,2012,001550
종근당홀딩스,2013,001630
지역난방공사,2011,071320
지역난방공사,2012,071320
지역난방공사,2013,071320
진양폴리우레탄,2015,010640
진양홀딩스,2016,100250
진양홀딩스,2018,100250
진양홀딩스,2019,100250
진흥기업,2011,002780
진흥기업,2012,002780
진흥기업,2013,002780
진흥기업,2014,002780
진흥기업,2016,002780
진흥기업,2017,002780
참엔지니어링,2011,009310
참엔지니어링,2015,009310
참엔지니어링,2016,009310
참엔지니어링,2018,009310
참엔지니어링,2019,009310
초록뱀헬스케어,2013,118000
초록뱀헬스케어,2014,118000
초록뱀헬스케어,2015,118000
카프로,2013,006380
컨버즈,2012,109070
컨버즈,2013,109070
컨버즈,2016,109070
컨버즈,2017,109070
컨버즈,2019,109070
케이비아이동국실업,2014,001620
케이씨 IR,2017,029460
케이씨씨 IR,2015,002380
케이씨씨 IR,2019,002380
케이씨티시,2014,009070
코스맥스비티아이,2013,044820
코스모신소재,2015,005070
코스모신소재,2018,005070
코스모화학,2019,005420
코아스,2011,071950
코아스,2016,071950
