종업원수,당좌자산회전률,1회전기간,비유동장기적합률,유동자산회전률,단기차입금 대 총차입금비율,매출원가 대 매출액 비율,매출액총이익률,매출액영업이익률,총자본영업이익률,재고자산 대 순운전자본비율,유동부채비율,target
157.0,98.34408891279016,152.39034837886487,80.91703196493137,87.5363995372771,83.27966311617537,70.66007427829297,29.339925721707036,-5.311125794618241,-4.486920367269157,44.34009726647661,81.11137236460537,1
194.0,171.11142307075244,270.77581660279174,52.54281529604548,82.85717060285891,98.22107081174438,87.33166906930137,12.667158913774715,1.5494063734280323,1.4727179555733798,85.31442889445701,32.765897137098044,1
58.0,164.28898033836305,193.6745059838575,147.23113530663014,100.05569479253693,38.41015364061457,79.41831338714167,20.58168661285833,-17.979404397439467,-7.142857142857142,-26.663314898609013,239.88082843459176,0
31.0,29.655519772890305,454.15434605403874,65.68303230730093,26.91918702115574,100.0,52.66598044261451,47.33401955738549,17.179619145651053,6.470873315886401,43.45730878537008,121.4329083181542,0
11.0,167.4795460543679,144.13717209282785,113.18959382166108,121.49567304010417,49.00591625828403,84.45691113282275,15.54308886717724,7.780474224421402,6.189668285262973,-93.7250199840128,79.15551537070525,0
38.0,61.53220639692475,106.49913900124142,103.1802645266756,51.76516926138601,98.52380952380952,85.72744383484843,14.272556165151576,-18.377317688518684,-11.361160625866509,-209.51325547694145,202.99969852276152,0
69.0,170.15886915186388,113.77320345524724,105.01752444198486,96.26680820948336,73.30960854092527,90.11211174416468,9.887888255835325,-1.6798382650248116,-1.840886203423968,-209.51325547694145,162.12173913043478,1
30.0,25.975623550704142,-35.36035885147429,21.610944234034218,25.02048675727936,93.08755760368663,76.55894548329327,23.44105451670673,9.782029976928412,3.3808424503998125,0.0,38.23069539909592,1
142.0,115.3317792023978,-5.151236238946069,85.33395068873713,110.99314931292815,100.0,71.24706731636888,28.75293268363112,-5.923118570655117,-8.489394723228143,23.677979479084453,126.15057823932028,1
99.0,69.12829631329137,168.8109857285098,72.11441390914189,56.3302602213108,51.84190902311707,65.89155326916695,34.10844673083306,-6.426319283106538,-3.7301033062826594,55.67176186645213,39.84678026282781,1
73.0,25.975623550704142,-35.36035885147429,47.672947698158566,23.60213856092671,91.41152998443587,65.66725359232383,34.33263711053329,11.05485951491742,2.0025266939213826,6.43866448328626,239.88082843459176,1
471.0,285.70452264784245,72.34512641628001,147.23113530663014,192.7037340419156,86.60156017388198,93.44494240806172,6.555057591938257,1.296336016316148,2.664119835126169,-85.53002054638156,239.88082843459176,1
60.0,27.796271216474487,454.15434605403874,89.0083791428724,23.60213856092671,100.0,97.00646686600376,2.993533133996245,-35.86855787506087,-12.183411053432044,139.18426802621994,115.83771434862788,1
93.0,178.0563503224868,272.5628909406178,76.69477925968191,94.11960729025148,25.41554198039494,83.93841181650643,16.060680338807636,2.885130411889134,2.2450796162595195,106.499120189733,37.98603929679421,1
80.0,174.3754365627833,266.7101898885214,72.42706456551713,96.19032784331728,21.61380046638384,84.68959874544029,15.31125353697201,4.354310844441415,3.472486542330488,83.83643168292532,37.47488235217859,0
79.0,184.1369047619048,291.57692396499573,94.10456062291436,92.2030458293711,78.57981896492157,82.63255520407613,17.367444795923863,7.133236355799795,5.938284894151417,250.59625212947188,69.12059472762793,0
121.0,129.52630178302138,196.454816285998,74.02481337398802,96.2873817138712,0.0,85.99458959695922,14.005410403040782,6.153477382460706,4.255168004546423,39.977739552767375,11.209573784536303,0
121.0,172.07128138594214,151.20306921251637,122.84553851228766,129.94351910552706,56.971303295049246,86.68751247421994,13.312487525780051,2.973854034994345,1.768079636099941,-34.57859592131384,79.1277168407953,0
109.0,98.67284893244856,202.72756689833705,112.51652203896327,77.44557519231189,52.7954950295926,91.53605897746138,8.461127212358255,-5.005768310869748,-2.3050012956724544,-71.38047138047138,71.78742850573391,0
117.0,57.79435954895463,342.5817761828157,112.0296797219874,45.621859651103705,61.257452839409645,91.52745122303344,8.472548776966548,-33.015715876747926,-9.191020267554688,-81.33687334062158,91.79140904653434,0
110.0,68.45505617977527,231.16595345565383,61.01277955271566,57.596731717199,0.0,97.00646686600376,2.993533133996245,-16.566035523770445,-8.454496499730748,20.798164385806768,7.360731225980681,0
110.0,83.0264969029594,280.73722930266297,60.10335917312661,65.74474607445757,0.0,93.56543363382032,6.43456636617967,-3.4556004559113043,-1.902398676592225,16.459650994437247,7.114936110107414,0
111.0,74.52569818385348,365.4820790386906,117.434757394162,57.958093179634965,60.96069461301465,81.46786139742062,18.532138602579376,-10.317501424353862,-4.608870687860068,-66.34881915955205,100.02017000432215,0
152.0,95.49223899638528,52.87303001063856,58.12167749556999,82.02906197994886,56.12722170252572,66.47863628491551,33.52136371508449,0.222667557336896,0.174533607415739,25.65951000365669,13.001865340202524,0
160.0,108.0146049667245,58.21693996931339,58.772328367488456,88.7602672681619,0.0,69.97266973532797,30.02972765630993,-8.273398542385884,-7.409713574097136,20.09744214372716,11.57497565725414,1
161.0,75.63069581882897,41.95239572828588,57.55336269693376,68.91740176423417,60.72874493927125,67.7009800118946,32.301605771468466,-3.679569725648385,-2.765577020251098,10.15165120223486,9.086808017013595,0
282.0,72.30599328887567,115.68803971097928,120.54308612382268,70.52803844799371,52.90909090909091,9.081830464665453,90.91816953533454,12.127709569406097,3.4234592775000205,-5.462902940656491,56.67442068533596,0
247.0,83.62679252132872,97.48122422400698,147.23113530663014,80.22777932571748,51.53386323326545,8.57823337697429,91.42176662302572,0.9941393531582376,0.2564705618833227,-0.69724877255164,129.7706393735742,1
